Tid juli,Verdi juli,Tid august,Verdi august,Tid september,Verdi september
1. juli 2022 kl. 00:00,29.80,1. august 2022 kl. 00:00,25.60,1. september 2022 kl. 00:00,28.00
1. juli 2022 kl. 01:00,28.00,1. august 2022 kl. 01:00,22.80,1. september 2022 kl. 01:00,26.20
1. juli 2022 kl. 02:00,26.20,1. august 2022 kl. 02:00,21.20,1. september 2022 kl. 02:00,26.40
1. juli 2022 kl. 03:00,30.20,1. august 2022 kl. 03:00,20.80,1. september 2022 kl. 03:00,26.20
1. juli 2022 kl. 04:00,24.60,1. august 2022 kl. 04:00,19.20,1. september 2022 kl. 04:00,29.00
1. juli 2022 kl. 05:00,25.80,1. august 2022 kl. 05:00,23.40,1. september 2022 kl. 05:00,31.80
1. juli 2022 kl. 06:00,24.60,1. august 2022 kl. 06:00,20.40,1. september 2022 kl. 06:00,31.80
1. juli 2022 kl. 07:00,26.60,1. august 2022 kl. 07:00,21.40,1. september 2022 kl. 07:00,31.60
1. juli 2022 kl. 08:00,26.40,1. august 2022 kl. 08:00,26.00,1. september 2022 kl. 08:00,30.00
1. juli 2022 kl. 09:00,33.00,1. august 2022 kl. 09:00,38.80,1. september 2022 kl. 09:00,25.20
1. juli 2022 kl. 10:00,37.80,1. august 2022 kl. 10:00,42.00,1. september 2022 kl. 10:00,23.40
1. juli 2022 kl. 11:00,40.80,1. august 2022 kl. 11:00,35.80,1. september 2022 kl. 11:00,36.80
1. juli 2022 kl. 12:00,41.20,1. august 2022 kl. 12:00,29.80,1. september 2022 kl. 12:00,38.00
1. juli 2022 kl. 13:00,36.80,1. august 2022 kl. 13:00,29.40,1. september 2022 kl. 13:00,34.80
1. juli 2022 kl. 14:00,33.80,1. august 2022 kl. 14:00,27.60,1. september 2022 kl. 14:00,43.80
1. juli 2022 kl. 15:00,31.80,1. august 2022 kl. 15:00,30.20,1. september 2022 kl. 15:00,39.40
1. juli 2022 kl. 16:00,36.20,1. august 2022 kl. 16:00,32.40,1. september 2022 kl. 16:00,43.40
1. juli 2022 kl. 17:00,42.40,1. august 2022 kl. 17:00,36.00,1. september 2022 kl. 17:00,42.20
1. juli 2022 kl. 18:00,53.80,1. august 2022 kl. 18:00,38.60,1. september 2022 kl. 18:00,42.20
1. juli 2022 kl. 19:00,46.00,1. august 2022 kl. 19:00,34.20,1. september 2022 kl. 19:00,42.40
1. juli 2022 kl. 20:00,39.20,1. august 2022 kl. 20:00,33.00,1. september 2022 kl. 20:00,48.60
1. juli 2022 kl. 21:00,38.20,1. august 2022 kl. 21:00,36.40,1. september 2022 kl. 21:00,56.20
1. juli 2022 kl. 22:00,39.00,1. august 2022 kl. 22:00,33.40,1. september 2022 kl. 22:00,49.80
1. juli 2022 kl. 23:00,42.20,1. august 2022 kl. 23:00,28.20,1. september 2022 kl. 23:00,46.40
2. juli 2022 kl. 00:00,45.00,2. august 2022 kl. 00:00,24.80,2. september 2022 kl. 00:00,44.20
2. juli 2022 kl. 01:00,39.20,2. august 2022 kl. 01:00,23.80,2. september 2022 kl. 01:00,42.20
2. juli 2022 kl. 02:00,39.40,2. august 2022 kl. 02:00,25.20,2. september 2022 kl. 02:00,43.40
2. juli 2022 kl. 03:00,37.60,2. august 2022 kl. 03:00,25.20,2. september 2022 kl. 03:00,42.60
2. juli 2022 kl. 04:00,33.40,2. august 2022 kl. 04:00,25.80,2. september 2022 kl. 04:00,42.80
2. juli 2022 kl. 05:00,32.80,2. august 2022 kl. 05:00,27.60,2. september 2022 kl. 05:00,43.80
2. juli 2022 kl. 06:00,33.60,2. august 2022 kl. 06:00,22.20,2. september 2022 kl. 06:00,43.60
2. juli 2022 kl. 07:00,34.40,2. august 2022 kl. 07:00,25.20,2. september 2022 kl. 07:00,48.40
2. juli 2022 kl. 08:00,42.00,2. august 2022 kl. 08:00,28.20,2. september 2022 kl. 08:00,53.20
2. juli 2022 kl. 09:00,56.80,2. august 2022 kl. 09:00,29.20,2. september 2022 kl. 09:00,48.00
2. juli 2022 kl. 10:00,61.20,2. august 2022 kl. 10:00,35.60,2. september 2022 kl. 10:00,51.60
2. juli 2022 kl. 11:00,60.20,2. august 2022 kl. 11:00,27.40,2. september 2022 kl. 11:00,54.00
2. juli 2022 kl. 12:00,67.00,2. august 2022 kl. 12:00,36.80,2. september 2022 kl. 12:00,65.00
2. juli 2022 kl. 13:00,60.80,2. august 2022 kl. 13:00,45.20,2. september 2022 kl. 13:00,75.40
2. juli 2022 kl. 14:00,47.00,2. august 2022 kl. 14:00,43.20,2. september 2022 kl. 14:00,92.00
2. juli 2022 kl. 15:00,46.40,2. august 2022 kl. 15:00,42.40,2. september 2022 kl. 15:00,88.60
2. juli 2022 kl. 16:00,52.40,2. august 2022 kl. 16:00,46.60,2. september 2022 kl. 16:00,94.80
2. juli 2022 kl. 17:00,54.20,2. august 2022 kl. 17:00,46.20,2. september 2022 kl. 17:00,110.00
2. juli 2022 kl. 18:00,53.20,2. august 2022 kl. 18:00,49.80,2. september 2022 kl. 18:00,126.80
2. juli 2022 kl. 19:00,43.00,2. august 2022 kl. 19:00,48.60,2. september 2022 kl. 19:00,147.80
2. juli 2022 kl. 20:00,45.40,2. august 2022 kl. 20:00,55.80,2. september 2022 kl. 20:00,137.20
2. juli 2022 kl. 21:00,40.60,2. august 2022 kl. 21:00,49.80,2. september 2022 kl. 21:00,114.20
2. juli 2022 kl. 22:00,50.80,2. august 2022 kl. 22:00,43.80,2. september 2022 kl. 22:00,112.00
2. juli 2022 kl. 23:00,55.20,2. august 2022 kl. 23:00,33.20,2. september 2022 kl. 23:00,100.20
3. juli 2022 kl. 00:00,55.60,3. august 2022 kl. 00:00,28.40,3. september 2022 kl. 00:00,82.40
3. juli 2022 kl. 01:00,48.60,3. august 2022 kl. 01:00,24.20,3. september 2022 kl. 01:00,75.60
3. juli 2022 kl. 02:00,48.20,3. august 2022 kl. 02:00,25.40,3. september 2022 kl. 02:00,73.00
3. juli 2022 kl. 03:00,40.20,3. august 2022 kl. 03:00,23.00,3. september 2022 kl. 03:00,73.20
3. juli 2022 kl. 04:00,42.60,3. august 2022 kl. 04:00,23.60,3. september 2022 kl. 04:00,74.00
3. juli 2022 kl. 05:00,39.00,3. august 2022 kl. 05:00,22.40,3. september 2022 kl. 05:00,74.20
3. juli 2022 kl. 06:00,34.00,3. august 2022 kl. 06:00,25.00,3. september 2022 kl. 06:00,83.60
3. juli 2022 kl. 07:00,35.00,3. august 2022 kl. 07:00,25.60,3. september 2022 kl. 07:00,79.60
3. juli 2022 kl. 08:00,45.60,3. august 2022 kl. 08:00,44.60,3. september 2022 kl. 08:00,88.20
3. juli 2022 kl. 09:00,66.20,3. august 2022 kl. 09:00,47.40,3. september 2022 kl. 09:00,90.60
3. juli 2022 kl. 10:00,68.60,3. august 2022 kl. 10:00,49.40,3. september 2022 kl. 10:00,95.80
3. juli 2022 kl. 11:00,52.60,3. august 2022 kl. 11:00,48.80,3. september 2022 kl. 11:00,83.40
3. juli 2022 kl. 12:00,35.00,3. august 2022 kl. 12:00,41.00,3. september 2022 kl. 12:00,69.00
3. juli 2022 kl. 13:00,30.20,3. august 2022 kl. 13:00,36.20,3. september 2022 kl. 13:00,76.60
3. juli 2022 kl. 14:00,24.60,3. august 2022 kl. 14:00,44.80,3. september 2022 kl. 14:00,68.40
3. juli 2022 kl. 15:00,26.20,3. august 2022 kl. 15:00,50.60,3. september 2022 kl. 15:00,69.40
3. juli 2022 kl. 16:00,23.00,3. august 2022 kl. 16:00,46.00,3. september 2022 kl. 16:00,69.60
3. juli 2022 kl. 17:00,20.80,3. august 2022 kl. 17:00,52.00,3. september 2022 kl. 17:00,79.40
3. juli 2022 kl. 18:00,20.80,3. august 2022 kl. 18:00,50.60,3. september 2022 kl. 18:00,92.40
3. juli 2022 kl. 19:00,25.20,3. august 2022 kl. 19:00,55.80,3. september 2022 kl. 19:00,104.00
3. juli 2022 kl. 20:00,26.60,3. august 2022 kl. 20:00,59.40,3. september 2022 kl. 20:00,114.60
3. juli 2022 kl. 21:00,28.00,3. august 2022 kl. 21:00,49.40,3. september 2022 kl. 21:00,113.80
3. juli 2022 kl. 22:00,25.00,3. august 2022 kl. 22:00,41.40,3. september 2022 kl. 22:00,104.60
3. juli 2022 kl. 23:00,23.60,3. august 2022 kl. 23:00,34.00,3. september 2022 kl. 23:00,91.00
4. juli 2022 kl. 00:00,18.60,4. august 2022 kl. 00:00,31.40,4. september 2022 kl. 00:00,83.80
4. juli 2022 kl. 01:00,18.20,4. august 2022 kl. 01:00,27.60,4. september 2022 kl. 01:00,80.80
4. juli 2022 kl. 02:00,19.80,4. august 2022 kl. 02:00,25.80,4. september 2022 kl. 02:00,76.40
4. juli 2022 kl. 03:00,19.00,4. august 2022 kl. 03:00,27.80,4. september 2022 kl. 03:00,72.40
4. juli 2022 kl. 04:00,19.40,4. august 2022 kl. 04:00,26.40,4. september 2022 kl. 04:00,72.80
4. juli 2022 kl. 05:00,20.40,4. august 2022 kl. 05:00,26.80,4. september 2022 kl. 05:00,75.60
4. juli 2022 kl. 06:00,21.80,4. august 2022 kl. 06:00,28.60,4. september 2022 kl. 06:00,76.60
4. juli 2022 kl. 07:00,23.40,4. august 2022 kl. 07:00,27.80,4. september 2022 kl. 07:00,81.00
4. juli 2022 kl. 08:00,17.80,4. august 2022 kl. 08:00,35.80,4. september 2022 kl. 08:00,90.60
4. juli 2022 kl. 09:00,34.00,4. august 2022 kl. 09:00,51.00,4. september 2022 kl. 09:00,96.20
4. juli 2022 kl. 10:00,26.80,4. august 2022 kl. 10:00,43.00,4. september 2022 kl. 10:00,94.00
4. juli 2022 kl. 11:00,32.20,4. august 2022 kl. 11:00,50.60,4. september 2022 kl. 11:00,81.80
4. juli 2022 kl. 12:00,26.80,4. august 2022 kl. 12:00,41.00,4. september 2022 kl. 12:00,59.40
4. juli 2022 kl. 13:00,29.60,4. august 2022 kl. 13:00,42.80,4. september 2022 kl. 13:00,48.60
4. juli 2022 kl. 14:00,23.40,4. august 2022 kl. 14:00,43.20,4. september 2022 kl. 14:00,47.40
4. juli 2022 kl. 15:00,22.20,4. august 2022 kl. 15:00,47.40,4. september 2022 kl. 15:00,39.60
4. juli 2022 kl. 16:00,23.00,4. august 2022 kl. 16:00,53.60,4. september 2022 kl. 16:00,47.40
4. juli 2022 kl. 17:00,22.60,4. august 2022 kl. 17:00,66.80,4. september 2022 kl. 17:00,48.00
4. juli 2022 kl. 18:00,26.80,4. august 2022 kl. 18:00,58.80,4. september 2022 kl. 18:00,47.00
4. juli 2022 kl. 19:00,25.40,4. august 2022 kl. 19:00,59.40,4. september 2022 kl. 19:00,37.00
4. juli 2022 kl. 20:00,21.60,4. august 2022 kl. 20:00,60.00,4. september 2022 kl. 20:00,30.60
4. juli 2022 kl. 21:00,22.60,4. august 2022 kl. 21:00,56.20,4. september 2022 kl. 21:00,26.40
4. juli 2022 kl. 22:00,26.00,4. august 2022 kl. 22:00,51.20,4. september 2022 kl. 22:00,23.80
4. juli 2022 kl. 23:00,28.00,4. august 2022 kl. 23:00,54.80,4. september 2022 kl. 23:00,20.00
5. juli 2022 kl. 00:00,26.40,5. august 2022 kl. 00:00,44.40,5. september 2022 kl. 00:00,16.60
5. juli 2022 kl. 01:00,22.40,5. august 2022 kl. 01:00,40.80,5. september 2022 kl. 01:00,18.20
5. juli 2022 kl. 02:00,23.20,5. august 2022 kl. 02:00,37.00,5. september 2022 kl. 02:00,16.80
5. juli 2022 kl. 03:00,22.00,5. august 2022 kl. 03:00,37.80,5. september 2022 kl. 03:00,18.60
5. juli 2022 kl. 04:00,22.20,5. august 2022 kl. 04:00,39.20,5. september 2022 kl. 04:00,16.60
5. juli 2022 kl. 05:00,21.20,5. august 2022 kl. 05:00,42.00,5. september 2022 kl. 05:00,16.40
5. juli 2022 kl. 06:00,22.00,5. august 2022 kl. 06:00,39.80,5. september 2022 kl. 06:00,16.40
5. juli 2022 kl. 07:00,25.80,5. august 2022 kl. 07:00,35.00,5. september 2022 kl. 07:00,18.20
5. juli 2022 kl. 08:00,21.00,5. august 2022 kl. 08:00,51.40,5. september 2022 kl. 08:00,18.40
5. juli 2022 kl. 09:00,27.80,5. august 2022 kl. 09:00,62.20,5. september 2022 kl. 09:00,21.20
5. juli 2022 kl. 10:00,32.80,5. august 2022 kl. 10:00,58.00,5. september 2022 kl. 10:00,20.00
5. juli 2022 kl. 11:00,24.40,5. august 2022 kl. 11:00,58.60,5. september 2022 kl. 11:00,19.40
5. juli 2022 kl. 12:00,23.20,5. august 2022 kl. 12:00,59.00,5. september 2022 kl. 12:00,17.40
5. juli 2022 kl. 13:00,20.00,5. august 2022 kl. 13:00,52.40,5. september 2022 kl. 13:00,17.60
5. juli 2022 kl. 14:00,20.40,5. august 2022 kl. 14:00,63.40,5. september 2022 kl. 14:00,18.60
5. juli 2022 kl. 15:00,22.40,5. august 2022 kl. 15:00,61.20,5. september 2022 kl. 15:00,18.80
5. juli 2022 kl. 16:00,24.20,5. august 2022 kl. 16:00,77.60,5. september 2022 kl. 16:00,18.00
5. juli 2022 kl. 17:00,23.80,5. august 2022 kl. 17:00,83.00,5. september 2022 kl. 17:00,17.20
5. juli 2022 kl. 18:00,28.40,5. august 2022 kl. 18:00,83.60,5. september 2022 kl. 18:00,20.40
5. juli 2022 kl. 19:00,28.60,5. august 2022 kl. 19:00,85.80,5. september 2022 kl. 19:00,18.00
5. juli 2022 kl. 20:00,25.40,5. august 2022 kl. 20:00,85.40,5. september 2022 kl. 20:00,19.00
5. juli 2022 kl. 21:00,27.80,5. august 2022 kl. 21:00,89.00,5. september 2022 kl. 21:00,20.00
5. juli 2022 kl. 22:00,27.60,5. august 2022 kl. 22:00,83.20,5. september 2022 kl. 22:00,21.80
5. juli 2022 kl. 23:00,23.20,5. august 2022 kl. 23:00,88.60,5. september 2022 kl. 23:00,21.20
6. juli 2022 kl. 00:00,22.20,6. august 2022 kl. 00:00,85.60,6. september 2022 kl. 00:00,18.60
6. juli 2022 kl. 01:00,19.20,6. august 2022 kl. 01:00,69.00,6. september 2022 kl. 01:00,17.60
6. juli 2022 kl. 02:00,20.40,6. august 2022 kl. 02:00,70.00,6. september 2022 kl. 02:00,18.20
6. juli 2022 kl. 03:00,22.00,6. august 2022 kl. 03:00,62.40,6. september 2022 kl. 03:00,18.80
6. juli 2022 kl. 04:00,22.80,6. august 2022 kl. 04:00,62.00,6. september 2022 kl. 04:00,20.00
6. juli 2022 kl. 05:00,21.80,6. august 2022 kl. 05:00,59.20,6. september 2022 kl. 05:00,21.60
6. juli 2022 kl. 06:00,20.00,6. august 2022 kl. 06:00,61.00,6. september 2022 kl. 06:00,20.20
6. juli 2022 kl. 07:00,19.60,6. august 2022 kl. 07:00,57.40,6. september 2022 kl. 07:00,22.00
6. juli 2022 kl. 08:00,21.00,6. august 2022 kl. 08:00,59.20,6. september 2022 kl. 08:00,23.80
6. juli 2022 kl. 09:00,28.00,6. august 2022 kl. 09:00,62.80,6. september 2022 kl. 09:00,24.80
6. juli 2022 kl. 10:00,27.40,6. august 2022 kl. 10:00,68.80,6. september 2022 kl. 10:00,32.80
6. juli 2022 kl. 11:00,25.80,6. august 2022 kl. 11:00,74.40,6. september 2022 kl. 11:00,37.40
6. juli 2022 kl. 12:00,27.40,6. august 2022 kl. 12:00,86.20,6. september 2022 kl. 12:00,40.60
6. juli 2022 kl. 13:00,24.20,6. august 2022 kl. 13:00,84.00,6. september 2022 kl. 13:00,33.60
6. juli 2022 kl. 14:00,24.60,6. august 2022 kl. 14:00,79.00,6. september 2022 kl. 14:00,32.00
6. juli 2022 kl. 15:00,28.20,6. august 2022 kl. 15:00,80.20,6. september 2022 kl. 15:00,35.40
6. juli 2022 kl. 16:00,26.20,6. august 2022 kl. 16:00,75.80,6. september 2022 kl. 16:00,33.20
6. juli 2022 kl. 17:00,32.40,6. august 2022 kl. 17:00,78.60,6. september 2022 kl. 17:00,35.60
6. juli 2022 kl. 18:00,38.00,6. august 2022 kl. 18:00,92.80,6. september 2022 kl. 18:00,31.20
6. juli 2022 kl. 19:00,35.20,6. august 2022 kl. 19:00,90.80,6. september 2022 kl. 19:00,28.20
6. juli 2022 kl. 20:00,38.80,6. august 2022 kl. 20:00,84.60,6. september 2022 kl. 20:00,28.40
6. juli 2022 kl. 21:00,36.20,6. august 2022 kl. 21:00,82.20,6. september 2022 kl. 21:00,26.20
6. juli 2022 kl. 22:00,36.20,6. august 2022 kl. 22:00,82.40,6. september 2022 kl. 22:00,24.20
6. juli 2022 kl. 23:00,28.00,6. august 2022 kl. 23:00,80.00,6. september 2022 kl. 23:00,23.40
7. juli 2022 kl. 00:00,23.40,7. august 2022 kl. 00:00,79.20,7. september 2022 kl. 00:00,24.40
7. juli 2022 kl. 01:00,22.80,7. august 2022 kl. 01:00,83.80,7. september 2022 kl. 01:00,23.20
7. juli 2022 kl. 02:00,20.80,7. august 2022 kl. 02:00,84.20,7. september 2022 kl. 02:00,20.40
7. juli 2022 kl. 03:00,20.60,7. august 2022 kl. 03:00,76.20,7. september 2022 kl. 03:00,20.80
7. juli 2022 kl. 04:00,21.80,7. august 2022 kl. 04:00,74.00,7. september 2022 kl. 04:00,23.20
7. juli 2022 kl. 05:00,20.60,7. august 2022 kl. 05:00,68.00,7. september 2022 kl. 05:00,24.00
7. juli 2022 kl. 06:00,21.60,7. august 2022 kl. 06:00,62.20,7. september 2022 kl. 06:00,25.00
7. juli 2022 kl. 07:00,24.20,7. august 2022 kl. 07:00,58.80,7. september 2022 kl. 07:00,24.40
7. juli 2022 kl. 08:00,29.60,7. august 2022 kl. 08:00,67.20,7. september 2022 kl. 08:00,20.60
7. juli 2022 kl. 09:00,31.00,7. august 2022 kl. 09:00,68.20,7. september 2022 kl. 09:00,20.60
7. juli 2022 kl. 10:00,36.20,7. august 2022 kl. 10:00,65.20,7. september 2022 kl. 10:00,26.80
7. juli 2022 kl. 11:00,26.80,7. august 2022 kl. 11:00,55.00,7. september 2022 kl. 11:00,32.60
7. juli 2022 kl. 12:00,27.60,7. august 2022 kl. 12:00,48.40,7. september 2022 kl. 12:00,31.40
7. juli 2022 kl. 13:00,27.60,7. august 2022 kl. 13:00,52.40,7. september 2022 kl. 13:00,27.60
7. juli 2022 kl. 14:00,28.00,7. august 2022 kl. 14:00,58.20,7. september 2022 kl. 14:00,30.20
7. juli 2022 kl. 15:00,29.40,7. august 2022 kl. 15:00,49.40,7. september 2022 kl. 15:00,29.20
7. juli 2022 kl. 16:00,26.60,7. august 2022 kl. 16:00,48.60,7. september 2022 kl. 16:00,24.40
7. juli 2022 kl. 17:00,28.40,7. august 2022 kl. 17:00,57.20,7. september 2022 kl. 17:00,27.40
7. juli 2022 kl. 18:00,33.00,7. august 2022 kl. 18:00,48.00,7. september 2022 kl. 18:00,27.00
7. juli 2022 kl. 19:00,27.60,7. august 2022 kl. 19:00,42.00,7. september 2022 kl. 19:00,28.60
7. juli 2022 kl. 20:00,25.00,7. august 2022 kl. 20:00,36.00,7. september 2022 kl. 20:00,28.20
7. juli 2022 kl. 21:00,30.60,7. august 2022 kl. 21:00,34.00,7. september 2022 kl. 21:00,27.80
7. juli 2022 kl. 22:00,31.40,7. august 2022 kl. 22:00,32.00,7. september 2022 kl. 22:00,20.60
7. juli 2022 kl. 23:00,27.80,7. august 2022 kl. 23:00,31.40,7. september 2022 kl. 23:00,23.20
8. juli 2022 kl. 00:00,22.60,8. august 2022 kl. 00:00,29.60,8. september 2022 kl. 00:00,20.20
8. juli 2022 kl. 01:00,21.20,8. august 2022 kl. 01:00,34.80,8. september 2022 kl. 01:00,20.20
8. juli 2022 kl. 02:00,19.00,8. august 2022 kl. 02:00,34.60,8. september 2022 kl. 02:00,20.60
8. juli 2022 kl. 03:00,20.00,8. august 2022 kl. 03:00,35.00,8. september 2022 kl. 03:00,19.20
8. juli 2022 kl. 04:00,20.60,8. august 2022 kl. 04:00,36.00,8. september 2022 kl. 04:00,19.40
8. juli 2022 kl. 05:00,21.60,8. august 2022 kl. 05:00,35.20,8. september 2022 kl. 05:00,20.00
8. juli 2022 kl. 06:00,22.80,8. august 2022 kl. 06:00,32.60,8. september 2022 kl. 06:00,21.40
8. juli 2022 kl. 07:00,23.80,8. august 2022 kl. 07:00,33.20,8. september 2022 kl. 07:00,20.60
8. juli 2022 kl. 08:00,28.40,8. august 2022 kl. 08:00,35.40,8. september 2022 kl. 08:00,20.60
8. juli 2022 kl. 09:00,35.80,8. august 2022 kl. 09:00,36.40,8. september 2022 kl. 09:00,19.00
8. juli 2022 kl. 10:00,31.00,8. august 2022 kl. 10:00,32.60,8. september 2022 kl. 10:00,29.60
8. juli 2022 kl. 11:00,28.40,8. august 2022 kl. 11:00,27.20,8. september 2022 kl. 11:00,34.60
8. juli 2022 kl. 12:00,33.20,8. august 2022 kl. 12:00,24.60,8. september 2022 kl. 12:00,37.60
8. juli 2022 kl. 13:00,35.80,8. august 2022 kl. 13:00,28.00,8. september 2022 kl. 13:00,34.00
8. juli 2022 kl. 14:00,33.60,8. august 2022 kl. 14:00,27.60,8. september 2022 kl. 14:00,36.60
8. juli 2022 kl. 15:00,41.40,8. august 2022 kl. 15:00,28.20,8. september 2022 kl. 15:00,32.60
8. juli 2022 kl. 16:00,48.60,8. august 2022 kl. 16:00,26.60,8. september 2022 kl. 16:00,34.20
8. juli 2022 kl. 17:00,49.20,8. august 2022 kl. 17:00,35.80,8. september 2022 kl. 17:00,32.20
8. juli 2022 kl. 18:00,54.80,8. august 2022 kl. 18:00,38.00,8. september 2022 kl. 18:00,36.80
