Tid juli,Verdi juli,Tid august,Verdi august,Tid september,Verdi september
8. juli 2022 kl. 19:00,51.20,8. august 2022 kl. 19:00,36.20,8. september 2022 kl. 19:00,36.40
8. juli 2022 kl. 20:00,47.40,8. august 2022 kl. 20:00,32.00,8. september 2022 kl. 20:00,40.40
8. juli 2022 kl. 21:00,45.60,8. august 2022 kl. 21:00,30.80,8. september 2022 kl. 21:00,32.40
8. juli 2022 kl. 22:00,41.80,8. august 2022 kl. 22:00,33.40,8. september 2022 kl. 22:00,28.40
8. juli 2022 kl. 23:00,47.00,8. august 2022 kl. 23:00,25.80,8. september 2022 kl. 23:00,25.00
9. juli 2022 kl. 00:00,36.40,9. august 2022 kl. 00:00,24.20,9. september 2022 kl. 00:00,23.80
9. juli 2022 kl. 01:00,28.00,9. august 2022 kl. 01:00,22.60,9. september 2022 kl. 01:00,24.40
9. juli 2022 kl. 02:00,28.40,9. august 2022 kl. 02:00,23.60,9. september 2022 kl. 02:00,25.20
9. juli 2022 kl. 03:00,24.20,9. august 2022 kl. 03:00,24.60,9. september 2022 kl. 03:00,25.20
9. juli 2022 kl. 04:00,26.60,9. august 2022 kl. 04:00,24.80,9. september 2022 kl. 04:00,26.00
9. juli 2022 kl. 05:00,24.60,9. august 2022 kl. 05:00,24.60,9. september 2022 kl. 05:00,25.80
9. juli 2022 kl. 06:00,23.40,9. august 2022 kl. 06:00,25.40,9. september 2022 kl. 06:00,26.80
9. juli 2022 kl. 07:00,30.60,9. august 2022 kl. 07:00,25.60,9. september 2022 kl. 07:00,27.20
9. juli 2022 kl. 08:00,36.20,9. august 2022 kl. 08:00,33.60,9. september 2022 kl. 08:00,32.60
9. juli 2022 kl. 09:00,38.00,9. august 2022 kl. 09:00,30.80,9. september 2022 kl. 09:00,26.20
9. juli 2022 kl. 10:00,44.60,9. august 2022 kl. 10:00,30.60,9. september 2022 kl. 10:00,34.80
9. juli 2022 kl. 11:00,46.20,9. august 2022 kl. 11:00,37.80,9. september 2022 kl. 11:00,35.40
9. juli 2022 kl. 12:00,44.00,9. august 2022 kl. 12:00,42.80,9. september 2022 kl. 12:00,34.00
9. juli 2022 kl. 13:00,34.60,9. august 2022 kl. 13:00,47.20,9. september 2022 kl. 13:00,40.20
9. juli 2022 kl. 14:00,33.20,9. august 2022 kl. 14:00,42.40,9. september 2022 kl. 14:00,40.60
9. juli 2022 kl. 15:00,36.80,9. august 2022 kl. 15:00,43.20,9. september 2022 kl. 15:00,37.00
9. juli 2022 kl. 16:00,41.20,9. august 2022 kl. 16:00,41.40,9. september 2022 kl. 16:00,34.80
9. juli 2022 kl. 17:00,43.80,9. august 2022 kl. 17:00,45.40,9. september 2022 kl. 17:00,43.60
9. juli 2022 kl. 18:00,54.60,9. august 2022 kl. 18:00,46.00,9. september 2022 kl. 18:00,44.60
9. juli 2022 kl. 19:00,58.00,9. august 2022 kl. 19:00,43.00,9. september 2022 kl. 19:00,51.80
9. juli 2022 kl. 20:00,54.20,9. august 2022 kl. 20:00,44.40,9. september 2022 kl. 20:00,49.00
9. juli 2022 kl. 21:00,51.00,9. august 2022 kl. 21:00,38.80,9. september 2022 kl. 21:00,45.40
9. juli 2022 kl. 22:00,50.20,9. august 2022 kl. 22:00,33.80,9. september 2022 kl. 22:00,45.40
9. juli 2022 kl. 23:00,46.00,9. august 2022 kl. 23:00,28.40,9. september 2022 kl. 23:00,37.80
10. juli 2022 kl. 00:00,39.00,10. august 2022 kl. 00:00,24.40,10. september 2022 kl. 00:00,31.20
10. juli 2022 kl. 01:00,35.80,10. august 2022 kl. 01:00,23.20,10. september 2022 kl. 01:00,29.80
10. juli 2022 kl. 02:00,34.20,10. august 2022 kl. 02:00,24.40,10. september 2022 kl. 02:00,29.40
10. juli 2022 kl. 03:00,32.20,10. august 2022 kl. 03:00,24.60,10. september 2022 kl. 03:00,32.00
10. juli 2022 kl. 04:00,32.40,10. august 2022 kl. 04:00,25.00,10. september 2022 kl. 04:00,30.60
10. juli 2022 kl. 05:00,32.40,10. august 2022 kl. 05:00,22.40,10. september 2022 kl. 05:00,30.80
10. juli 2022 kl. 06:00,33.20,10. august 2022 kl. 06:00,25.60,10. september 2022 kl. 06:00,32.60
10. juli 2022 kl. 07:00,34.00,10. august 2022 kl. 07:00,25.20,10. september 2022 kl. 07:00,35.60
10. juli 2022 kl. 08:00,38.00,10. august 2022 kl. 08:00,31.80,10. september 2022 kl. 08:00,32.40
10. juli 2022 kl. 09:00,47.00,10. august 2022 kl. 09:00,30.80,10. september 2022 kl. 09:00,30.00
10. juli 2022 kl. 10:00,52.00,10. august 2022 kl. 10:00,31.40,10. september 2022 kl. 10:00,38.60
10. juli 2022 kl. 11:00,45.40,10. august 2022 kl. 11:00,35.20,10. september 2022 kl. 11:00,38.40
10. juli 2022 kl. 12:00,34.00,10. august 2022 kl. 12:00,37.00,10. september 2022 kl. 12:00,44.80
10. juli 2022 kl. 13:00,36.40,10. august 2022 kl. 13:00,45.60,10. september 2022 kl. 13:00,39.60
10. juli 2022 kl. 14:00,35.80,10. august 2022 kl. 14:00,49.80,10. september 2022 kl. 14:00,44.00
10. juli 2022 kl. 15:00,33.40,10. august 2022 kl. 15:00,44.80,10. september 2022 kl. 15:00,39.40
10. juli 2022 kl. 16:00,33.20,10. august 2022 kl. 16:00,45.20,10. september 2022 kl. 16:00,49.80
10. juli 2022 kl. 17:00,39.40,10. august 2022 kl. 17:00,48.60,10. september 2022 kl. 17:00,51.80
10. juli 2022 kl. 18:00,39.40,10. august 2022 kl. 18:00,54.20,10. september 2022 kl. 18:00,58.60
10. juli 2022 kl. 19:00,34.40,10. august 2022 kl. 19:00,62.60,10. september 2022 kl. 19:00,62.00
10. juli 2022 kl. 20:00,30.60,10. august 2022 kl. 20:00,46.60,10. september 2022 kl. 20:00,53.40
10. juli 2022 kl. 21:00,37.00,10. august 2022 kl. 21:00,39.60,10. september 2022 kl. 21:00,41.20
10. juli 2022 kl. 22:00,42.60,10. august 2022 kl. 22:00,35.20,10. september 2022 kl. 22:00,44.20
10. juli 2022 kl. 23:00,34.00,10. august 2022 kl. 23:00,29.40,10. september 2022 kl. 23:00,43.80
11. juli 2022 kl. 00:00,25.80,11. august 2022 kl. 00:00,27.20,11. september 2022 kl. 00:00,39.80
11. juli 2022 kl. 01:00,28.00,11. august 2022 kl. 01:00,26.80,11. september 2022 kl. 01:00,33.20
11. juli 2022 kl. 02:00,29.40,11. august 2022 kl. 02:00,25.60,11. september 2022 kl. 02:00,34.60
11. juli 2022 kl. 03:00,27.40,11. august 2022 kl. 03:00,26.20,11. september 2022 kl. 03:00,32.40
11. juli 2022 kl. 04:00,26.80,11. august 2022 kl. 04:00,23.00,11. september 2022 kl. 04:00,36.20
11. juli 2022 kl. 05:00,24.80,11. august 2022 kl. 05:00,27.20,11. september 2022 kl. 05:00,37.40
11. juli 2022 kl. 06:00,26.60,11. august 2022 kl. 06:00,27.80,11. september 2022 kl. 06:00,39.40
11. juli 2022 kl. 07:00,37.20,11. august 2022 kl. 07:00,27.20,11. september 2022 kl. 07:00,36.00
11. juli 2022 kl. 08:00,32.40,11. august 2022 kl. 08:00,32.00,11. september 2022 kl. 08:00,27.80
11. juli 2022 kl. 09:00,34.20,11. august 2022 kl. 09:00,34.20,11. september 2022 kl. 09:00,37.00
11. juli 2022 kl. 10:00,38.60,11. august 2022 kl. 10:00,32.20,11. september 2022 kl. 10:00,47.20
11. juli 2022 kl. 11:00,36.40,11. august 2022 kl. 11:00,40.60,11. september 2022 kl. 11:00,42.00
11. juli 2022 kl. 12:00,29.20,11. august 2022 kl. 12:00,52.40,11. september 2022 kl. 12:00,38.20
11. juli 2022 kl. 13:00,29.80,11. august 2022 kl. 13:00,48.40,11. september 2022 kl. 13:00,36.80
11. juli 2022 kl. 14:00,32.80,11. august 2022 kl. 14:00,43.60,11. september 2022 kl. 14:00,29.20
11. juli 2022 kl. 15:00,37.40,11. august 2022 kl. 15:00,45.80,11. september 2022 kl. 15:00,38.20
11. juli 2022 kl. 16:00,32.80,11. august 2022 kl. 16:00,54.00,11. september 2022 kl. 16:00,35.60
11. juli 2022 kl. 17:00,38.80,11. august 2022 kl. 17:00,52.20,11. september 2022 kl. 17:00,36.80
11. juli 2022 kl. 18:00,37.00,11. august 2022 kl. 18:00,54.40,11. september 2022 kl. 18:00,35.60
11. juli 2022 kl. 19:00,39.20,11. august 2022 kl. 19:00,51.60,11. september 2022 kl. 19:00,33.60
11. juli 2022 kl. 20:00,39.80,11. august 2022 kl. 20:00,51.60,11. september 2022 kl. 20:00,36.80
11. juli 2022 kl. 21:00,34.20,11. august 2022 kl. 21:00,46.20,11. september 2022 kl. 21:00,29.20
11. juli 2022 kl. 22:00,34.60,11. august 2022 kl. 22:00,41.20,11. september 2022 kl. 22:00,23.00
11. juli 2022 kl. 23:00,31.40,11. august 2022 kl. 23:00,34.60,11. september 2022 kl. 23:00,25.00
12. juli 2022 kl. 00:00,29.60,12. august 2022 kl. 00:00,32.40,12. september 2022 kl. 00:00,24.00
12. juli 2022 kl. 01:00,28.00,12. august 2022 kl. 01:00,28.80,12. september 2022 kl. 01:00,26.20
12. juli 2022 kl. 02:00,27.00,12. august 2022 kl. 02:00,29.00,12. september 2022 kl. 02:00,26.60
12. juli 2022 kl. 03:00,29.40,12. august 2022 kl. 03:00,28.40,12. september 2022 kl. 03:00,26.20
12. juli 2022 kl. 04:00,27.80,12. august 2022 kl. 04:00,29.20,12. september 2022 kl. 04:00,20.80
12. juli 2022 kl. 05:00,25.60,12. august 2022 kl. 05:00,29.40,12. september 2022 kl. 05:00,21.20
12. juli 2022 kl. 06:00,29.20,12. august 2022 kl. 06:00,31.00,12. september 2022 kl. 06:00,20.40
12. juli 2022 kl. 07:00,30.60,12. august 2022 kl. 07:00,33.60,12. september 2022 kl. 07:00,23.60
12. juli 2022 kl. 08:00,34.00,12. august 2022 kl. 08:00,33.60,12. september 2022 kl. 08:00,23.40
12. juli 2022 kl. 09:00,42.80,12. august 2022 kl. 09:00,35.00,12. september 2022 kl. 09:00,21.00
12. juli 2022 kl. 10:00,37.00,12. august 2022 kl. 10:00,33.20,12. september 2022 kl. 10:00,18.60
12. juli 2022 kl. 11:00,31.60,12. august 2022 kl. 11:00,45.60,12. september 2022 kl. 11:00,18.20
12. juli 2022 kl. 12:00,33.00,12. august 2022 kl. 12:00,40.40,12. september 2022 kl. 12:00,20.60
12. juli 2022 kl. 13:00,31.60,12. august 2022 kl. 13:00,48.60,12. september 2022 kl. 13:00,21.60
12. juli 2022 kl. 14:00,36.60,12. august 2022 kl. 14:00,47.80,12. september 2022 kl. 14:00,18.00
12. juli 2022 kl. 15:00,39.20,12. august 2022 kl. 15:00,48.40,12. september 2022 kl. 15:00,19.40
12. juli 2022 kl. 16:00,36.20,12. august 2022 kl. 16:00,55.20,12. september 2022 kl. 16:00,19.60
12. juli 2022 kl. 17:00,44.20,12. august 2022 kl. 17:00,57.20,12. september 2022 kl. 17:00,22.60
12. juli 2022 kl. 18:00,46.80,12. august 2022 kl. 18:00,65.40,12. september 2022 kl. 18:00,18.60
12. juli 2022 kl. 19:00,42.00,12. august 2022 kl. 19:00,72.60,12. september 2022 kl. 19:00,20.20
12. juli 2022 kl. 20:00,37.40,12. august 2022 kl. 20:00,70.80,12. september 2022 kl. 20:00,24.80
12. juli 2022 kl. 21:00,35.40,12. august 2022 kl. 21:00,70.40,12. september 2022 kl. 21:00,22.60
12. juli 2022 kl. 22:00,31.60,12. august 2022 kl. 22:00,55.40,12. september 2022 kl. 22:00,22.00
12. juli 2022 kl. 23:00,31.00,12. august 2022 kl. 23:00,49.20,12. september 2022 kl. 23:00,19.40
13. juli 2022 kl. 00:00,24.40,13. august 2022 kl. 00:00,42.40,13. september 2022 kl. 00:00,18.80
13. juli 2022 kl. 01:00,24.40,13. august 2022 kl. 01:00,38.60,13. september 2022 kl. 01:00,18.80
13. juli 2022 kl. 02:00,23.40,13. august 2022 kl. 02:00,35.60,13. september 2022 kl. 02:00,19.40
13. juli 2022 kl. 03:00,23.80,13. august 2022 kl. 03:00,34.20,13. september 2022 kl. 03:00,18.40
13. juli 2022 kl. 04:00,23.00,13. august 2022 kl. 04:00,37.00,13. september 2022 kl. 04:00,19.60
13. juli 2022 kl. 05:00,23.60,13. august 2022 kl. 05:00,36.20,13. september 2022 kl. 05:00,19.80
13. juli 2022 kl. 06:00,23.80,13. august 2022 kl. 06:00,36.80,13. september 2022 kl. 06:00,18.40
13. juli 2022 kl. 07:00,24.80,13. august 2022 kl. 07:00,39.00,13. september 2022 kl. 07:00,23.20
13. juli 2022 kl. 08:00,38.80,13. august 2022 kl. 08:00,50.80,13. september 2022 kl. 08:00,23.00
13. juli 2022 kl. 09:00,37.00,13. august 2022 kl. 09:00,53.20,13. september 2022 kl. 09:00,20.40
13. juli 2022 kl. 10:00,36.60,13. august 2022 kl. 10:00,54.20,13. september 2022 kl. 10:00,19.00
13. juli 2022 kl. 11:00,34.20,13. august 2022 kl. 11:00,62.00,13. september 2022 kl. 11:00,28.60
13. juli 2022 kl. 12:00,26.80,13. august 2022 kl. 12:00,60.80,13. september 2022 kl. 12:00,30.40
13. juli 2022 kl. 13:00,31.00,13. august 2022 kl. 13:00,53.60,13. september 2022 kl. 13:00,33.20
13. juli 2022 kl. 14:00,32.20,13. august 2022 kl. 14:00,57.60,13. september 2022 kl. 14:00,32.20
13. juli 2022 kl. 15:00,39.60,13. august 2022 kl. 15:00,59.60,13. september 2022 kl. 15:00,30.40
13. juli 2022 kl. 16:00,34.40,13. august 2022 kl. 16:00,63.60,13. september 2022 kl. 16:00,32.00
13. juli 2022 kl. 17:00,43.40,13. august 2022 kl. 17:00,64.40,13. september 2022 kl. 17:00,34.20
13. juli 2022 kl. 18:00,40.20,13. august 2022 kl. 18:00,69.00,13. september 2022 kl. 18:00,35.40
13. juli 2022 kl. 19:00,41.40,13. august 2022 kl. 19:00,66.40,13. september 2022 kl. 19:00,37.20
13. juli 2022 kl. 20:00,37.40,13. august 2022 kl. 20:00,69.20,13. september 2022 kl. 20:00,34.40
13. juli 2022 kl. 21:00,29.00,13. august 2022 kl. 21:00,62.80,13. september 2022 kl. 21:00,31.00
13. juli 2022 kl. 22:00,29.40,13. august 2022 kl. 22:00,58.20,13. september 2022 kl. 22:00,25.60
13. juli 2022 kl. 23:00,29.40,13. august 2022 kl. 23:00,44.80,13. september 2022 kl. 23:00,24.80
14. juli 2022 kl. 00:00,27.00,14. august 2022 kl. 00:00,39.40,14. september 2022 kl. 00:00,21.00
14. juli 2022 kl. 01:00,25.00,14. august 2022 kl. 01:00,39.60,14. september 2022 kl. 01:00,18.80
14. juli 2022 kl. 02:00,23.60,14. august 2022 kl. 02:00,37.00,14. september 2022 kl. 02:00,21.20
14. juli 2022 kl. 03:00,22.60,14. august 2022 kl. 03:00,37.20,14. september 2022 kl. 03:00,20.80
14. juli 2022 kl. 04:00,22.00,14. august 2022 kl. 04:00,38.60,14. september 2022 kl. 04:00,18.80
14. juli 2022 kl. 05:00,22.80,14. august 2022 kl. 05:00,37.80,14. september 2022 kl. 05:00,20.40
14. juli 2022 kl. 06:00,24.60,14. august 2022 kl. 06:00,37.40,14. september 2022 kl. 06:00,22.00
14. juli 2022 kl. 07:00,26.20,14. august 2022 kl. 07:00,40.40,14. september 2022 kl. 07:00,19.60
14. juli 2022 kl. 08:00,32.60,14. august 2022 kl. 08:00,37.20,14. september 2022 kl. 08:00,20.60
14. juli 2022 kl. 09:00,36.80,14. august 2022 kl. 09:00,43.20,14. september 2022 kl. 09:00,23.20
14. juli 2022 kl. 10:00,42.60,14. august 2022 kl. 10:00,45.60,14. september 2022 kl. 10:00,33.60
14. juli 2022 kl. 11:00,37.60,14. august 2022 kl. 11:00,41.20,14. september 2022 kl. 11:00,34.60
14. juli 2022 kl. 12:00,38.00,14. august 2022 kl. 12:00,57.80,14. september 2022 kl. 12:00,34.00
14. juli 2022 kl. 13:00,28.00,14. august 2022 kl. 13:00,52.40,14. september 2022 kl. 13:00,30.80
14. juli 2022 kl. 14:00,30.60,14. august 2022 kl. 14:00,48.80,14. september 2022 kl. 14:00,34.40
14. juli 2022 kl. 15:00,36.20,14. august 2022 kl. 15:00,54.00,14. september 2022 kl. 15:00,33.60
14. juli 2022 kl. 16:00,46.60,14. august 2022 kl. 16:00,51.20,14. september 2022 kl. 16:00,32.20
14. juli 2022 kl. 17:00,62.20,14. august 2022 kl. 17:00,49.40,14. september 2022 kl. 17:00,36.40
14. juli 2022 kl. 18:00,47.20,14. august 2022 kl. 18:00,48.40,14. september 2022 kl. 18:00,38.20
14. juli 2022 kl. 19:00,57.40,14. august 2022 kl. 19:00,44.60,14. september 2022 kl. 19:00,37.60
14. juli 2022 kl. 20:00,64.00,14. august 2022 kl. 20:00,41.80,14. september 2022 kl. 20:00,35.80
14. juli 2022 kl. 21:00,57.80,14. august 2022 kl. 21:00,36.80,14. september 2022 kl. 21:00,30.00
14. juli 2022 kl. 22:00,54.80,14. august 2022 kl. 22:00,27.40,14. september 2022 kl. 22:00,26.20
14. juli 2022 kl. 23:00,47.60,14. august 2022 kl. 23:00,22.80,14. september 2022 kl. 23:00,25.40
15. juli 2022 kl. 00:00,35.80,15. august 2022 kl. 00:00,22.20,15. september 2022 kl. 00:00,23.00
15. juli 2022 kl. 01:00,38.00,15. august 2022 kl. 01:00,23.20,15. september 2022 kl. 01:00,20.80
15. juli 2022 kl. 02:00,38.60,15. august 2022 kl. 02:00,20.20,15. september 2022 kl. 02:00,21.80
15. juli 2022 kl. 03:00,35.40,15. august 2022 kl. 03:00,19.00,15. september 2022 kl. 03:00,21.80
15. juli 2022 kl. 04:00,34.80,15. august 2022 kl. 04:00,19.00,15. september 2022 kl. 04:00,21.00
15. juli 2022 kl. 05:00,33.80,15. august 2022 kl. 05:00,17.80,15. september 2022 kl. 05:00,22.60
15. juli 2022 kl. 06:00,30.40,15. august 2022 kl. 06:00,17.00,15. september 2022 kl. 06:00,24.20
15. juli 2022 kl. 07:00,26.60,15. august 2022 kl. 07:00,22.40,15. september 2022 kl. 07:00,22.40
15. juli 2022 kl. 08:00,36.20,15. august 2022 kl. 08:00,24.40,15. september 2022 kl. 08:00,24.00
15. juli 2022 kl. 09:00,44.80,15. august 2022 kl. 09:00,21.80,15. september 2022 kl. 09:00,24.40
15. juli 2022 kl. 10:00,39.60,15. august 2022 kl. 10:00,18.60,15. september 2022 kl. 10:00,35.60
15. juli 2022 kl. 11:00,39.60,15. august 2022 kl. 11:00,18.40,15. september 2022 kl. 11:00,33.20
15. juli 2022 kl. 12:00,36.80,15. august 2022 kl. 12:00,23.80,15. september 2022 kl. 12:00,33.20
15. juli 2022 kl. 13:00,38.40,15. august 2022 kl. 13:00,21.00,15. september 2022 kl. 13:00,33.40
15. juli 2022 kl. 14:00,34.60,15. august 2022 kl. 14:00,23.80,15. september 2022 kl. 14:00,32.60
15. juli 2022 kl. 15:00,36.20,15. august 2022 kl. 15:00,24.20,15. september 2022 kl. 15:00,31.80
15. juli 2022 kl. 16:00,42.40,15. august 2022 kl. 16:00,25.40,15. september 2022 kl. 16:00,37.20
15. juli 2022 kl. 17:00,43.60,15. august 2022 kl. 17:00,28.20,15. september 2022 kl. 17:00,35.60
15. juli 2022 kl. 18:00,49.60,15. august 2022 kl. 18:00,25.20,15. september 2022 kl. 18:00,37.00
15. juli 2022 kl. 19:00,58.00,15. august 2022 kl. 19:00,27.40,15. september 2022 kl. 19:00,41.40
15. juli 2022 kl. 20:00,59.40,15. august 2022 kl. 20:00,30.40,15. september 2022 kl. 20:00,43.00
15. juli 2022 kl. 21:00,66.80,15. august 2022 kl. 21:00,27.60,15. september 2022 kl. 21:00,37.80
15. juli 2022 kl. 22:00,74.20,15. august 2022 kl. 22:00,28.60,15. september 2022 kl. 22:00,33.80
15. juli 2022 kl. 23:00,60.80,15. august 2022 kl. 23:00,24.60,15. september 2022 kl. 23:00,28.60
16. juli 2022 kl. 00:00,52.00,16. august 2022 kl. 00:00,20.40,16. september 2022 kl. 00:00,23.80
16. juli 2022 kl. 01:00,47.80,16. august 2022 kl. 01:00,21.20,16. september 2022 kl. 01:00,21.40
16. juli 2022 kl. 02:00,43.80,16. august 2022 kl. 02:00,19.00,16. september 2022 kl. 02:00,23.00
16. juli 2022 kl. 03:00,41.80,16. august 2022 kl. 03:00,19.80,16. september 2022 kl. 03:00,24.40
16. juli 2022 kl. 04:00,43.60,16. august 2022 kl. 04:00,18.40,16. september 2022 kl. 04:00,23.60
16. juli 2022 kl. 05:00,46.80,16. august 2022 kl. 05:00,18.80,16. september 2022 kl. 05:00,22.40
16. juli 2022 kl. 06:00,45.00,16. august 2022 kl. 06:00,18.60,16. september 2022 kl. 06:00,25.40
16. juli 2022 kl. 07:00,46.20,16. august 2022 kl. 07:00,22.00,16. september 2022 kl. 07:00,20.80
16. juli 2022 kl. 08:00,50.00,16. august 2022 kl. 08:00,22.40,16. september 2022 kl. 08:00,22.60
16. juli 2022 kl. 09:00,57.40,16. august 2022 kl. 09:00,20.80,16. september 2022 kl. 09:00,24.00
