Tid juli,Verdi juli,Tid august,Verdi august,Tid september,Verdi september
16. juli 2022 kl. 10:00,57.60,16. august 2022 kl. 10:00,19.60,16. september 2022 kl. 10:00,29.20
16. juli 2022 kl. 11:00,56.60,16. august 2022 kl. 11:00,26.80,16. september 2022 kl. 11:00,30.40
16. juli 2022 kl. 12:00,55.40,16. august 2022 kl. 12:00,24.80,16. september 2022 kl. 12:00,31.80
16. juli 2022 kl. 13:00,42.40,16. august 2022 kl. 13:00,33.20,16. september 2022 kl. 13:00,30.60
16. juli 2022 kl. 14:00,47.80,16. august 2022 kl. 14:00,34.20,16. september 2022 kl. 14:00,29.60
16. juli 2022 kl. 15:00,50.20,16. august 2022 kl. 15:00,32.80,16. september 2022 kl. 15:00,34.40
16. juli 2022 kl. 16:00,48.40,16. august 2022 kl. 16:00,34.60,16. september 2022 kl. 16:00,35.20
16. juli 2022 kl. 17:00,48.60,16. august 2022 kl. 17:00,42.60,16. september 2022 kl. 17:00,49.20
16. juli 2022 kl. 18:00,66.60,16. august 2022 kl. 18:00,39.20,16. september 2022 kl. 18:00,43.40
16. juli 2022 kl. 19:00,53.80,16. august 2022 kl. 19:00,32.20,16. september 2022 kl. 19:00,49.60
16. juli 2022 kl. 20:00,60.40,16. august 2022 kl. 20:00,29.60,16. september 2022 kl. 20:00,49.20
16. juli 2022 kl. 21:00,77.80,16. august 2022 kl. 21:00,24.60,16. september 2022 kl. 21:00,49.60
16. juli 2022 kl. 22:00,72.60,16. august 2022 kl. 22:00,20.40,16. september 2022 kl. 22:00,41.20
16. juli 2022 kl. 23:00,60.60,16. august 2022 kl. 23:00,18.20,16. september 2022 kl. 23:00,34.00
17. juli 2022 kl. 00:00,61.80,17. august 2022 kl. 00:00,17.80,17. september 2022 kl. 00:00,29.40
17. juli 2022 kl. 01:00,51.80,17. august 2022 kl. 01:00,16.80,17. september 2022 kl. 01:00,32.00
17. juli 2022 kl. 02:00,47.80,17. august 2022 kl. 02:00,17.60,17. september 2022 kl. 02:00,29.00
17. juli 2022 kl. 03:00,48.60,17. august 2022 kl. 03:00,17.20,17. september 2022 kl. 03:00,27.40
17. juli 2022 kl. 04:00,46.40,17. august 2022 kl. 04:00,16.80,17. september 2022 kl. 04:00,28.00
17. juli 2022 kl. 05:00,46.80,17. august 2022 kl. 05:00,17.20,17. september 2022 kl. 05:00,27.80
17. juli 2022 kl. 06:00,45.00,17. august 2022 kl. 06:00,18.40,17. september 2022 kl. 06:00,28.60
17. juli 2022 kl. 07:00,53.20,17. august 2022 kl. 07:00,18.40,17. september 2022 kl. 07:00,30.60
17. juli 2022 kl. 08:00,43.20,17. august 2022 kl. 08:00,19.60,17. september 2022 kl. 08:00,33.20
17. juli 2022 kl. 09:00,46.60,17. august 2022 kl. 09:00,22.40,17. september 2022 kl. 09:00,30.00
17. juli 2022 kl. 10:00,50.00,17. august 2022 kl. 10:00,21.00,17. september 2022 kl. 10:00,34.60
17. juli 2022 kl. 11:00,47.60,17. august 2022 kl. 11:00,29.20,17. september 2022 kl. 11:00,37.20
17. juli 2022 kl. 12:00,38.40,17. august 2022 kl. 12:00,39.20,17. september 2022 kl. 12:00,34.20
17. juli 2022 kl. 13:00,32.20,17. august 2022 kl. 13:00,40.20,17. september 2022 kl. 13:00,39.20
17. juli 2022 kl. 14:00,36.40,17. august 2022 kl. 14:00,37.20,17. september 2022 kl. 14:00,33.80
17. juli 2022 kl. 15:00,33.40,17. august 2022 kl. 15:00,41.80,17. september 2022 kl. 15:00,34.20
17. juli 2022 kl. 16:00,36.60,17. august 2022 kl. 16:00,39.40,17. september 2022 kl. 16:00,36.60
17. juli 2022 kl. 17:00,38.60,17. august 2022 kl. 17:00,37.80,17. september 2022 kl. 17:00,40.00
17. juli 2022 kl. 18:00,39.00,17. august 2022 kl. 18:00,47.80,17. september 2022 kl. 18:00,39.60
17. juli 2022 kl. 19:00,36.20,17. august 2022 kl. 19:00,41.40,17. september 2022 kl. 19:00,44.20
17. juli 2022 kl. 20:00,36.40,17. august 2022 kl. 20:00,36.60,17. september 2022 kl. 20:00,43.40
17. juli 2022 kl. 21:00,40.00,17. august 2022 kl. 21:00,27.20,17. september 2022 kl. 21:00,41.80
17. juli 2022 kl. 22:00,36.80,17. august 2022 kl. 22:00,28.20,17. september 2022 kl. 22:00,33.80
17. juli 2022 kl. 23:00,39.20,17. august 2022 kl. 23:00,21.00,17. september 2022 kl. 23:00,29.40
18. juli 2022 kl. 00:00,38.20,18. august 2022 kl. 00:00,20.80,18. september 2022 kl. 00:00,27.20
18. juli 2022 kl. 01:00,33.40,18. august 2022 kl. 01:00,20.80,18. september 2022 kl. 01:00,24.80
18. juli 2022 kl. 02:00,37.60,18. august 2022 kl. 02:00,20.00,18. september 2022 kl. 02:00,24.00
18. juli 2022 kl. 03:00,38.00,18. august 2022 kl. 03:00,20.00,18. september 2022 kl. 03:00,25.20
18. juli 2022 kl. 04:00,35.00,18. august 2022 kl. 04:00,21.00,18. september 2022 kl. 04:00,24.80
18. juli 2022 kl. 05:00,33.40,18. august 2022 kl. 05:00,20.80,18. september 2022 kl. 05:00,25.40
18. juli 2022 kl. 06:00,34.40,18. august 2022 kl. 06:00,25.00,18. september 2022 kl. 06:00,26.00
18. juli 2022 kl. 07:00,35.60,18. august 2022 kl. 07:00,25.20,18. september 2022 kl. 07:00,25.00
18. juli 2022 kl. 08:00,65.20,18. august 2022 kl. 08:00,26.40,18. september 2022 kl. 08:00,27.20
18. juli 2022 kl. 09:00,63.80,18. august 2022 kl. 09:00,25.00,18. september 2022 kl. 09:00,29.20
18. juli 2022 kl. 10:00,57.80,18. august 2022 kl. 10:00,30.80,18. september 2022 kl. 10:00,24.80
18. juli 2022 kl. 11:00,51.20,18. august 2022 kl. 11:00,37.80,18. september 2022 kl. 11:00,21.80
18. juli 2022 kl. 12:00,46.20,18. august 2022 kl. 12:00,32.20,18. september 2022 kl. 12:00,30.80
18. juli 2022 kl. 13:00,43.80,18. august 2022 kl. 13:00,32.40,18. september 2022 kl. 13:00,33.80
18. juli 2022 kl. 14:00,43.60,18. august 2022 kl. 14:00,28.60,18. september 2022 kl. 14:00,35.00
18. juli 2022 kl. 15:00,50.40,18. august 2022 kl. 15:00,26.60,18. september 2022 kl. 15:00,31.40
18. juli 2022 kl. 16:00,49.20,18. august 2022 kl. 16:00,32.60,18. september 2022 kl. 16:00,28.40
18. juli 2022 kl. 17:00,51.40,18. august 2022 kl. 17:00,40.20,18. september 2022 kl. 17:00,31.80
18. juli 2022 kl. 18:00,56.20,18. august 2022 kl. 18:00,42.00,18. september 2022 kl. 18:00,31.80
18. juli 2022 kl. 19:00,50.00,18. august 2022 kl. 19:00,34.40,18. september 2022 kl. 19:00,32.40
18. juli 2022 kl. 20:00,48.20,18. august 2022 kl. 20:00,34.00,18. september 2022 kl. 20:00,30.40
18. juli 2022 kl. 21:00,51.80,18. august 2022 kl. 21:00,27.40,18. september 2022 kl. 21:00,24.00
18. juli 2022 kl. 22:00,56.40,18. august 2022 kl. 22:00,25.00,18. september 2022 kl. 22:00,19.60
18. juli 2022 kl. 23:00,56.40,18. august 2022 kl. 23:00,24.80,18. september 2022 kl. 23:00,19.00
19. juli 2022 kl. 00:00,55.00,19. august 2022 kl. 00:00,22.60,19. september 2022 kl. 00:00,19.40
19. juli 2022 kl. 01:00,48.60,19. august 2022 kl. 01:00,19.40,19. september 2022 kl. 01:00,17.60
19. juli 2022 kl. 02:00,46.80,19. august 2022 kl. 02:00,19.00,19. september 2022 kl. 02:00,18.40
19. juli 2022 kl. 03:00,47.00,19. august 2022 kl. 03:00,17.00,19. september 2022 kl. 03:00,19.00
19. juli 2022 kl. 04:00,48.40,19. august 2022 kl. 04:00,17.60,19. september 2022 kl. 04:00,20.20
19. juli 2022 kl. 05:00,43.80,19. august 2022 kl. 05:00,18.80,19. september 2022 kl. 05:00,18.60
19. juli 2022 kl. 06:00,38.00,19. august 2022 kl. 06:00,17.00,19. september 2022 kl. 06:00,18.80
19. juli 2022 kl. 07:00,41.20,19. august 2022 kl. 07:00,22.00,19. september 2022 kl. 07:00,19.40
19. juli 2022 kl. 08:00,46.60,19. august 2022 kl. 08:00,22.80,19. september 2022 kl. 08:00,18.40
19. juli 2022 kl. 09:00,59.80,19. august 2022 kl. 09:00,23.80,19. september 2022 kl. 09:00,16.80
19. juli 2022 kl. 10:00,53.40,19. august 2022 kl. 10:00,22.60,19. september 2022 kl. 10:00,16.20
19. juli 2022 kl. 11:00,50.00,19. august 2022 kl. 11:00,22.00,19. september 2022 kl. 11:00,16.20
19. juli 2022 kl. 12:00,51.00,19. august 2022 kl. 12:00,43.00,19. september 2022 kl. 12:00,16.80
19. juli 2022 kl. 13:00,56.40,19. august 2022 kl. 13:00,36.20,19. september 2022 kl. 13:00,16.80
19. juli 2022 kl. 14:00,58.20,19. august 2022 kl. 14:00,45.40,19. september 2022 kl. 14:00,12.60
19. juli 2022 kl. 15:00,59.40,19. august 2022 kl. 15:00,40.40,19. september 2022 kl. 15:00,16.20
19. juli 2022 kl. 16:00,69.20,19. august 2022 kl. 16:00,37.40,19. september 2022 kl. 16:00,16.00
19. juli 2022 kl. 17:00,80.60,19. august 2022 kl. 17:00,42.60,19. september 2022 kl. 17:00,17.20
19. juli 2022 kl. 18:00,87.80,19. august 2022 kl. 18:00,42.60,19. september 2022 kl. 18:00,16.40
19. juli 2022 kl. 19:00,80.80,19. august 2022 kl. 19:00,45.20,19. september 2022 kl. 19:00,21.00
19. juli 2022 kl. 20:00,76.40,19. august 2022 kl. 20:00,44.80,19. september 2022 kl. 20:00,22.20
19. juli 2022 kl. 21:00,75.20,19. august 2022 kl. 21:00,38.60,19. september 2022 kl. 21:00,24.20
19. juli 2022 kl. 22:00,67.20,19. august 2022 kl. 22:00,36.60,19. september 2022 kl. 22:00,24.60
19. juli 2022 kl. 23:00,58.80,19. august 2022 kl. 23:00,35.00,19. september 2022 kl. 23:00,22.80
20. juli 2022 kl. 00:00,49.00,20. august 2022 kl. 00:00,27.80,20. september 2022 kl. 00:00,18.60
20. juli 2022 kl. 01:00,48.20,20. august 2022 kl. 01:00,24.40,20. september 2022 kl. 01:00,18.60
20. juli 2022 kl. 02:00,43.00,20. august 2022 kl. 02:00,21.60,20. september 2022 kl. 02:00,21.60
20. juli 2022 kl. 03:00,44.00,20. august 2022 kl. 03:00,23.40,20. september 2022 kl. 03:00,20.00
20. juli 2022 kl. 04:00,42.60,20. august 2022 kl. 04:00,22.40,20. september 2022 kl. 04:00,20.80
20. juli 2022 kl. 05:00,41.80,20. august 2022 kl. 05:00,23.00,20. september 2022 kl. 05:00,23.40
20. juli 2022 kl. 06:00,42.40,20. august 2022 kl. 06:00,25.20,20. september 2022 kl. 06:00,23.00
20. juli 2022 kl. 07:00,43.00,20. august 2022 kl. 07:00,27.20,20. september 2022 kl. 07:00,21.80
20. juli 2022 kl. 08:00,47.80,20. august 2022 kl. 08:00,27.00,20. september 2022 kl. 08:00,21.20
20. juli 2022 kl. 09:00,59.00,20. august 2022 kl. 09:00,31.80,20. september 2022 kl. 09:00,19.80
20. juli 2022 kl. 10:00,71.20,20. august 2022 kl. 10:00,34.80,20. september 2022 kl. 10:00,18.20
20. juli 2022 kl. 11:00,67.80,20. august 2022 kl. 11:00,35.00,20. september 2022 kl. 11:00,21.20
20. juli 2022 kl. 12:00,70.00,20. august 2022 kl. 12:00,36.60,20. september 2022 kl. 12:00,32.00
20. juli 2022 kl. 13:00,72.20,20. august 2022 kl. 13:00,41.00,20. september 2022 kl. 13:00,39.00
20. juli 2022 kl. 14:00,68.00,20. august 2022 kl. 14:00,39.40,20. september 2022 kl. 14:00,34.20
20. juli 2022 kl. 15:00,71.00,20. august 2022 kl. 15:00,41.00,20. september 2022 kl. 15:00,31.20
20. juli 2022 kl. 16:00,84.40,20. august 2022 kl. 16:00,45.00,20. september 2022 kl. 16:00,31.60
20. juli 2022 kl. 17:00,93.20,20. august 2022 kl. 17:00,43.20,20. september 2022 kl. 17:00,30.80
20. juli 2022 kl. 18:00,98.40,20. august 2022 kl. 18:00,43.80,20. september 2022 kl. 18:00,27.00
20. juli 2022 kl. 19:00,98.00,20. august 2022 kl. 19:00,45.60,20. september 2022 kl. 19:00,38.80
20. juli 2022 kl. 20:00,98.60,20. august 2022 kl. 20:00,49.60,20. september 2022 kl. 20:00,31.60
20. juli 2022 kl. 21:00,90.40,20. august 2022 kl. 21:00,42.80,20. september 2022 kl. 21:00,36.00
20. juli 2022 kl. 22:00,82.80,20. august 2022 kl. 22:00,35.60,20. september 2022 kl. 22:00,26.80
20. juli 2022 kl. 23:00,70.40,20. august 2022 kl. 23:00,35.20,20. september 2022 kl. 23:00,27.60
21. juli 2022 kl. 00:00,56.80,21. august 2022 kl. 00:00,30.80,21. september 2022 kl. 00:00,25.40
21. juli 2022 kl. 01:00,43.60,21. august 2022 kl. 01:00,28.80,21. september 2022 kl. 01:00,24.20
21. juli 2022 kl. 02:00,43.60,21. august 2022 kl. 02:00,25.40,21. september 2022 kl. 02:00,26.40
21. juli 2022 kl. 03:00,41.20,21. august 2022 kl. 03:00,25.40,21. september 2022 kl. 03:00,29.60
21. juli 2022 kl. 04:00,37.80,21. august 2022 kl. 04:00,25.00,21. september 2022 kl. 04:00,26.60
21. juli 2022 kl. 05:00,36.60,21. august 2022 kl. 05:00,24.80,21. september 2022 kl. 05:00,27.60
21. juli 2022 kl. 06:00,36.60,21. august 2022 kl. 06:00,25.20,21. september 2022 kl. 06:00,31.40
21. juli 2022 kl. 07:00,48.80,21. august 2022 kl. 07:00,26.40,21. september 2022 kl. 07:00,28.80
21. juli 2022 kl. 08:00,51.00,21. august 2022 kl. 08:00,29.40,21. september 2022 kl. 08:00,30.80
21. juli 2022 kl. 09:00,61.00,21. august 2022 kl. 09:00,36.60,21. september 2022 kl. 09:00,28.80
21. juli 2022 kl. 10:00,59.40,21. august 2022 kl. 10:00,33.00,21. september 2022 kl. 10:00,28.00
21. juli 2022 kl. 11:00,61.40,21. august 2022 kl. 11:00,32.00,21. september 2022 kl. 11:00,35.80
21. juli 2022 kl. 12:00,62.20,21. august 2022 kl. 12:00,45.80,21. september 2022 kl. 12:00,32.60
21. juli 2022 kl. 13:00,55.40,21. august 2022 kl. 13:00,41.20,21. september 2022 kl. 13:00,39.60
21. juli 2022 kl. 14:00,62.20,21. august 2022 kl. 14:00,42.60,21. september 2022 kl. 14:00,39.20
21. juli 2022 kl. 15:00,59.20,21. august 2022 kl. 15:00,43.80,21. september 2022 kl. 15:00,31.60
21. juli 2022 kl. 16:00,59.00,21. august 2022 kl. 16:00,47.80,21. september 2022 kl. 16:00,32.20
21. juli 2022 kl. 17:00,70.40,21. august 2022 kl. 17:00,42.00,21. september 2022 kl. 17:00,33.60
21. juli 2022 kl. 18:00,67.40,21. august 2022 kl. 18:00,43.40,21. september 2022 kl. 18:00,32.80
21. juli 2022 kl. 19:00,74.80,21. august 2022 kl. 19:00,36.60,21. september 2022 kl. 19:00,34.40
21. juli 2022 kl. 20:00,73.40,21. august 2022 kl. 20:00,26.00,21. september 2022 kl. 20:00,36.00
21. juli 2022 kl. 21:00,62.40,21. august 2022 kl. 21:00,25.80,21. september 2022 kl. 21:00,31.80
21. juli 2022 kl. 22:00,51.20,21. august 2022 kl. 22:00,23.80,21. september 2022 kl. 22:00,27.80
21. juli 2022 kl. 23:00,49.00,21. august 2022 kl. 23:00,29.60,21. september 2022 kl. 23:00,31.40
22. juli 2022 kl. 00:00,46.80,22. august 2022 kl. 00:00,23.20,22. september 2022 kl. 00:00,27.20
22. juli 2022 kl. 01:00,40.60,22. august 2022 kl. 01:00,22.20,22. september 2022 kl. 01:00,24.60
22. juli 2022 kl. 02:00,37.80,22. august 2022 kl. 02:00,22.00,22. september 2022 kl. 02:00,25.40
22. juli 2022 kl. 03:00,34.20,22. august 2022 kl. 03:00,24.00,22. september 2022 kl. 03:00,26.20
22. juli 2022 kl. 04:00,33.20,22. august 2022 kl. 04:00,23.20,22. september 2022 kl. 04:00,27.60
22. juli 2022 kl. 05:00,33.40,22. august 2022 kl. 05:00,22.60,22. september 2022 kl. 05:00,27.20
22. juli 2022 kl. 06:00,33.40,22. august 2022 kl. 06:00,26.80,22. september 2022 kl. 06:00,30.60
22. juli 2022 kl. 07:00,36.00,22. august 2022 kl. 07:00,29.60,22. september 2022 kl. 07:00,27.40
22. juli 2022 kl. 08:00,46.20,22. august 2022 kl. 08:00,20.80,22. september 2022 kl. 08:00,26.40
22. juli 2022 kl. 09:00,47.20,22. august 2022 kl. 09:00,21.00,22. september 2022 kl. 09:00,24.40
22. juli 2022 kl. 10:00,51.80,22. august 2022 kl. 10:00,22.40,22. september 2022 kl. 10:00,35.40
22. juli 2022 kl. 11:00,66.00,22. august 2022 kl. 11:00,22.80,22. september 2022 kl. 11:00,39.00
22. juli 2022 kl. 12:00,59.40,22. august 2022 kl. 12:00,20.40,22. september 2022 kl. 12:00,35.60
22. juli 2022 kl. 13:00,65.40,22. august 2022 kl. 13:00,22.00,22. september 2022 kl. 13:00,33.80
22. juli 2022 kl. 14:00,61.00,22. august 2022 kl. 14:00,19.20,22. september 2022 kl. 14:00,38.20
22. juli 2022 kl. 15:00,62.60,22. august 2022 kl. 15:00,17.80,22. september 2022 kl. 15:00,39.00
22. juli 2022 kl. 16:00,63.80,22. august 2022 kl. 16:00,16.00,22. september 2022 kl. 16:00,38.00
22. juli 2022 kl. 17:00,73.00,22. august 2022 kl. 17:00,18.40,22. september 2022 kl. 17:00,45.60
22. juli 2022 kl. 18:00,74.40,22. august 2022 kl. 18:00,24.00,22. september 2022 kl. 18:00,43.40
22. juli 2022 kl. 19:00,82.20,22. august 2022 kl. 19:00,26.00,22. september 2022 kl. 19:00,40.80
22. juli 2022 kl. 20:00,78.80,22. august 2022 kl. 20:00,23.80,22. september 2022 kl. 20:00,41.40
22. juli 2022 kl. 21:00,75.80,22. august 2022 kl. 21:00,25.00,22. september 2022 kl. 21:00,37.80
22. juli 2022 kl. 22:00,78.60,22. august 2022 kl. 22:00,22.60,22. september 2022 kl. 22:00,30.60
22. juli 2022 kl. 23:00,66.40,22. august 2022 kl. 23:00,18.80,22. september 2022 kl. 23:00,26.00
23. juli 2022 kl. 00:00,53.60,23. august 2022 kl. 00:00,20.80,23. september 2022 kl. 00:00,23.80
23. juli 2022 kl. 01:00,48.00,23. august 2022 kl. 01:00,19.60,23. september 2022 kl. 01:00,22.60
23. juli 2022 kl. 02:00,45.80,23. august 2022 kl. 02:00,21.60,23. september 2022 kl. 02:00,21.40
23. juli 2022 kl. 03:00,45.40,23. august 2022 kl. 03:00,22.40,23. september 2022 kl. 03:00,23.40
23. juli 2022 kl. 04:00,43.80,23. august 2022 kl. 04:00,24.00,23. september 2022 kl. 04:00,21.40
23. juli 2022 kl. 05:00,44.80,23. august 2022 kl. 05:00,24.80,23. september 2022 kl. 05:00,23.20
23. juli 2022 kl. 06:00,40.00,23. august 2022 kl. 06:00,25.40,23. september 2022 kl. 06:00,26.20
23. juli 2022 kl. 07:00,40.80,23. august 2022 kl. 07:00,21.80,23. september 2022 kl. 07:00,26.80
23. juli 2022 kl. 08:00,50.80,23. august 2022 kl. 08:00,23.80,23. september 2022 kl. 08:00,32.60
23. juli 2022 kl. 09:00,66.80,23. august 2022 kl. 09:00,22.80,23. september 2022 kl. 09:00,33.00
23. juli 2022 kl. 10:00,62.20,23. august 2022 kl. 10:00,24.60,23. september 2022 kl. 10:00,32.00
23. juli 2022 kl. 11:00,60.40,23. august 2022 kl. 11:00,25.40,23. september 2022 kl. 11:00,37.60
23. juli 2022 kl. 12:00,58.40,23. august 2022 kl. 12:00,28.20,23. september 2022 kl. 12:00,41.20
23. juli 2022 kl. 13:00,61.20,23. august 2022 kl. 13:00,29.40,23. september 2022 kl. 13:00,38.40
23. juli 2022 kl. 14:00,54.20,23. august 2022 kl. 14:00,28.20,23. september 2022 kl. 14:00,48.00
23. juli 2022 kl. 15:00,56.80,23. august 2022 kl. 15:00,28.60,23. september 2022 kl. 15:00,63.20
23. juli 2022 kl. 16:00,65.40,23. august 2022 kl. 16:00,28.60,23. september 2022 kl. 16:00,58.40
23. juli 2022 kl. 17:00,71.40,23. august 2022 kl. 17:00,34.20,23. september 2022 kl. 17:00,63.40
23. juli 2022 kl. 18:00,88.40,23. august 2022 kl. 18:00,36.60,23. september 2022 kl. 18:00,69.00
23. juli 2022 kl. 19:00,81.20,23. august 2022 kl. 19:00,32.80,23. september 2022 kl. 19:00,68.20
23. juli 2022 kl. 20:00,80.40,23. august 2022 kl. 20:00,27.40,23. september 2022 kl. 20:00,69.60
23. juli 2022 kl. 21:00,67.80,23. august 2022 kl. 21:00,28.60,23. september 2022 kl. 21:00,57.20
23. juli 2022 kl. 22:00,58.60,23. august 2022 kl. 22:00,24.00,23. september 2022 kl. 22:00,51.40
23. juli 2022 kl. 23:00,58.60,23. august 2022 kl. 23:00,22.80,23. september 2022 kl. 23:00,51.00
24. juli 2022 kl. 00:00,54.80,24. august 2022 kl. 00:00,24.40,24. september 2022 kl. 00:00,44.60
