Tid juli,Verdi juli,Tid august,Verdi august,Tid september,Verdi september
24. juli 2022 kl. 01:00,41.80,24. august 2022 kl. 01:00,27.60,24. september 2022 kl. 01:00,42.00
24. juli 2022 kl. 02:00,36.40,24. august 2022 kl. 02:00,30.00,24. september 2022 kl. 02:00,36.40
24. juli 2022 kl. 03:00,36.00,24. august 2022 kl. 03:00,27.80,24. september 2022 kl. 03:00,34.40
24. juli 2022 kl. 04:00,29.40,24. august 2022 kl. 04:00,28.80,24. september 2022 kl. 04:00,31.60
24. juli 2022 kl. 05:00,28.80,24. august 2022 kl. 05:00,31.20,24. september 2022 kl. 05:00,32.80
24. juli 2022 kl. 06:00,31.00,24. august 2022 kl. 06:00,28.40,24. september 2022 kl. 06:00,36.80
24. juli 2022 kl. 07:00,38.60,24. august 2022 kl. 07:00,25.60,24. september 2022 kl. 07:00,37.80
24. juli 2022 kl. 08:00,49.20,24. august 2022 kl. 08:00,22.40,24. september 2022 kl. 08:00,49.00
24. juli 2022 kl. 09:00,52.60,24. august 2022 kl. 09:00,23.80,24. september 2022 kl. 09:00,54.00
24. juli 2022 kl. 10:00,53.20,24. august 2022 kl. 10:00,19.80,24. september 2022 kl. 10:00,54.40
24. juli 2022 kl. 11:00,51.80,24. august 2022 kl. 11:00,25.40,24. september 2022 kl. 11:00,49.80
24. juli 2022 kl. 12:00,59.40,24. august 2022 kl. 12:00,31.00,24. september 2022 kl. 12:00,55.20
24. juli 2022 kl. 13:00,64.00,24. august 2022 kl. 13:00,31.40,24. september 2022 kl. 13:00,61.80
24. juli 2022 kl. 14:00,64.20,24. august 2022 kl. 14:00,30.20,24. september 2022 kl. 14:00,63.00
24. juli 2022 kl. 15:00,59.80,24. august 2022 kl. 15:00,30.20,24. september 2022 kl. 15:00,65.80
24. juli 2022 kl. 16:00,77.80,24. august 2022 kl. 16:00,34.20,24. september 2022 kl. 16:00,57.40
24. juli 2022 kl. 17:00,80.60,24. august 2022 kl. 17:00,36.40,24. september 2022 kl. 17:00,60.40
24. juli 2022 kl. 18:00,75.60,24. august 2022 kl. 18:00,34.80,24. september 2022 kl. 18:00,69.80
24. juli 2022 kl. 19:00,80.00,24. august 2022 kl. 19:00,30.20,24. september 2022 kl. 19:00,65.00
24. juli 2022 kl. 20:00,66.40,24. august 2022 kl. 20:00,29.20,24. september 2022 kl. 20:00,65.80
24. juli 2022 kl. 21:00,55.80,24. august 2022 kl. 21:00,28.60,24. september 2022 kl. 21:00,59.80
24. juli 2022 kl. 22:00,53.00,24. august 2022 kl. 22:00,34.40,24. september 2022 kl. 22:00,58.40
24. juli 2022 kl. 23:00,42.00,24. august 2022 kl. 23:00,18.80,24. september 2022 kl. 23:00,54.60
25. juli 2022 kl. 00:00,34.40,25. august 2022 kl. 00:00,21.60,25. september 2022 kl. 00:00,48.00
25. juli 2022 kl. 01:00,34.80,25. august 2022 kl. 01:00,19.40,25. september 2022 kl. 01:00,42.80
25. juli 2022 kl. 02:00,35.80,25. august 2022 kl. 02:00,20.80,25. september 2022 kl. 02:00,40.20
25. juli 2022 kl. 03:00,30.60,25. august 2022 kl. 03:00,20.20,25. september 2022 kl. 03:00,38.20
25. juli 2022 kl. 04:00,29.60,25. august 2022 kl. 04:00,23.40,25. september 2022 kl. 04:00,40.40
25. juli 2022 kl. 05:00,30.40,25. august 2022 kl. 05:00,24.20,25. september 2022 kl. 05:00,40.40
25. juli 2022 kl. 06:00,29.40,25. august 2022 kl. 06:00,21.60,25. september 2022 kl. 06:00,39.60
25. juli 2022 kl. 07:00,38.00,25. august 2022 kl. 07:00,24.20,25. september 2022 kl. 07:00,42.80
25. juli 2022 kl. 08:00,50.20,25. august 2022 kl. 08:00,22.20,25. september 2022 kl. 08:00,47.60
25. juli 2022 kl. 09:00,53.20,25. august 2022 kl. 09:00,20.80,25. september 2022 kl. 09:00,46.40
25. juli 2022 kl. 10:00,46.40,25. august 2022 kl. 10:00,18.00,25. september 2022 kl. 10:00,48.80
25. juli 2022 kl. 11:00,36.80,25. august 2022 kl. 11:00,24.40,25. september 2022 kl. 11:00,41.80
25. juli 2022 kl. 12:00,35.40,25. august 2022 kl. 12:00,29.00,25. september 2022 kl. 12:00,39.80
25. juli 2022 kl. 13:00,28.60,25. august 2022 kl. 13:00,30.00,25. september 2022 kl. 13:00,40.60
25. juli 2022 kl. 14:00,28.20,25. august 2022 kl. 14:00,29.20,25. september 2022 kl. 14:00,41.20
25. juli 2022 kl. 15:00,36.00,25. august 2022 kl. 15:00,40.40,25. september 2022 kl. 15:00,46.80
25. juli 2022 kl. 16:00,34.80,25. august 2022 kl. 16:00,35.40,25. september 2022 kl. 16:00,45.40
25. juli 2022 kl. 17:00,36.40,25. august 2022 kl. 17:00,34.40,25. september 2022 kl. 17:00,43.20
25. juli 2022 kl. 18:00,39.80,25. august 2022 kl. 18:00,39.80,25. september 2022 kl. 18:00,41.20
25. juli 2022 kl. 19:00,36.80,25. august 2022 kl. 19:00,34.40,25. september 2022 kl. 19:00,33.00
25. juli 2022 kl. 20:00,40.80,25. august 2022 kl. 20:00,25.60,25. september 2022 kl. 20:00,28.20
25. juli 2022 kl. 21:00,34.40,25. august 2022 kl. 21:00,25.60,25. september 2022 kl. 21:00,27.40
25. juli 2022 kl. 22:00,32.20,25. august 2022 kl. 22:00,24.60,25. september 2022 kl. 22:00,23.60
25. juli 2022 kl. 23:00,32.60,25. august 2022 kl. 23:00,20.60,25. september 2022 kl. 23:00,21.80
26. juli 2022 kl. 00:00,24.80,26. august 2022 kl. 00:00,17.00,26. september 2022 kl. 00:00,20.80
26. juli 2022 kl. 01:00,25.20,26. august 2022 kl. 01:00,17.20,26. september 2022 kl. 01:00,20.80
26. juli 2022 kl. 02:00,22.40,26. august 2022 kl. 02:00,16.80,26. september 2022 kl. 02:00,21.00
26. juli 2022 kl. 03:00,21.20,26. august 2022 kl. 03:00,19.40,26. september 2022 kl. 03:00,19.00
26. juli 2022 kl. 04:00,23.00,26. august 2022 kl. 04:00,20.80,26. september 2022 kl. 04:00,21.20
26. juli 2022 kl. 05:00,22.40,26. august 2022 kl. 05:00,22.00,26. september 2022 kl. 05:00,22.20
26. juli 2022 kl. 06:00,22.20,26. august 2022 kl. 06:00,20.60,26. september 2022 kl. 06:00,20.40
26. juli 2022 kl. 07:00,21.80,26. august 2022 kl. 07:00,22.60,26. september 2022 kl. 07:00,20.60
26. juli 2022 kl. 08:00,33.80,26. august 2022 kl. 08:00,27.80,26. september 2022 kl. 08:00,24.00
26. juli 2022 kl. 09:00,43.60,26. august 2022 kl. 09:00,23.60,26. september 2022 kl. 09:00,24.00
26. juli 2022 kl. 10:00,59.00,26. august 2022 kl. 10:00,28.20,26. september 2022 kl. 10:00,21.40
26. juli 2022 kl. 11:00,48.60,26. august 2022 kl. 11:00,32.20,26. september 2022 kl. 11:00,17.00
26. juli 2022 kl. 12:00,44.40,26. august 2022 kl. 12:00,34.20,26. september 2022 kl. 12:00,17.80
26. juli 2022 kl. 13:00,44.40,26. august 2022 kl. 13:00,35.80,26. september 2022 kl. 13:00,18.60
26. juli 2022 kl. 14:00,52.80,26. august 2022 kl. 14:00,33.20,26. september 2022 kl. 14:00,16.40
26. juli 2022 kl. 15:00,46.00,26. august 2022 kl. 15:00,35.60,26. september 2022 kl. 15:00,15.80
26. juli 2022 kl. 16:00,52.00,26. august 2022 kl. 16:00,41.60,26. september 2022 kl. 16:00,22.40
26. juli 2022 kl. 17:00,67.20,26. august 2022 kl. 17:00,46.00,26. september 2022 kl. 17:00,18.80
26. juli 2022 kl. 18:00,73.60,26. august 2022 kl. 18:00,46.80,26. september 2022 kl. 18:00,19.80
26. juli 2022 kl. 19:00,66.20,26. august 2022 kl. 19:00,49.00,26. september 2022 kl. 19:00,23.20
26. juli 2022 kl. 20:00,58.20,26. august 2022 kl. 20:00,49.00,26. september 2022 kl. 20:00,23.80
26. juli 2022 kl. 21:00,56.20,26. august 2022 kl. 21:00,45.60,26. september 2022 kl. 21:00,20.00
26. juli 2022 kl. 22:00,53.20,26. august 2022 kl. 22:00,40.40,26. september 2022 kl. 22:00,17.20
26. juli 2022 kl. 23:00,44.60,26. august 2022 kl. 23:00,39.20,26. september 2022 kl. 23:00,20.40
27. juli 2022 kl. 00:00,30.60,27. august 2022 kl. 00:00,30.00,27. september 2022 kl. 00:00,18.20
27. juli 2022 kl. 01:00,31.00,27. august 2022 kl. 01:00,29.00,27. september 2022 kl. 01:00,16.80
27. juli 2022 kl. 02:00,27.60,27. august 2022 kl. 02:00,26.60,27. september 2022 kl. 02:00,15.60
27. juli 2022 kl. 03:00,25.40,27. august 2022 kl. 03:00,27.20,27. september 2022 kl. 03:00,17.20
27. juli 2022 kl. 04:00,23.00,27. august 2022 kl. 04:00,28.20,27. september 2022 kl. 04:00,16.00
27. juli 2022 kl. 05:00,24.20,27. august 2022 kl. 05:00,26.80,27. september 2022 kl. 05:00,16.20
27. juli 2022 kl. 06:00,24.80,27. august 2022 kl. 06:00,30.60,27. september 2022 kl. 06:00,20.40
27. juli 2022 kl. 07:00,32.80,27. august 2022 kl. 07:00,34.00,27. september 2022 kl. 07:00,18.80
27. juli 2022 kl. 08:00,42.00,27. august 2022 kl. 08:00,42.40,27. september 2022 kl. 08:00,16.40
27. juli 2022 kl. 09:00,45.40,27. august 2022 kl. 09:00,40.20,27. september 2022 kl. 09:00,16.00
27. juli 2022 kl. 10:00,43.80,27. august 2022 kl. 10:00,39.20,27. september 2022 kl. 10:00,17.80
27. juli 2022 kl. 11:00,43.40,27. august 2022 kl. 11:00,43.00,27. september 2022 kl. 11:00,20.00
27. juli 2022 kl. 12:00,42.00,27. august 2022 kl. 12:00,44.40,27. september 2022 kl. 12:00,26.80
27. juli 2022 kl. 13:00,45.20,27. august 2022 kl. 13:00,48.60,27. september 2022 kl. 13:00,29.60
27. juli 2022 kl. 14:00,46.00,27. august 2022 kl. 14:00,51.00,27. september 2022 kl. 14:00,30.60
27. juli 2022 kl. 15:00,50.20,27. august 2022 kl. 15:00,54.00,27. september 2022 kl. 15:00,25.60
27. juli 2022 kl. 16:00,53.60,27. august 2022 kl. 16:00,53.20,27. september 2022 kl. 16:00,28.00
27. juli 2022 kl. 17:00,57.80,27. august 2022 kl. 17:00,58.20,27. september 2022 kl. 17:00,30.80
27. juli 2022 kl. 18:00,62.20,27. august 2022 kl. 18:00,62.80,27. september 2022 kl. 18:00,35.80
27. juli 2022 kl. 19:00,80.20,27. august 2022 kl. 19:00,51.60,27. september 2022 kl. 19:00,33.80
27. juli 2022 kl. 20:00,76.40,27. august 2022 kl. 20:00,57.60,27. september 2022 kl. 20:00,29.40
27. juli 2022 kl. 21:00,76.00,27. august 2022 kl. 21:00,53.20,27. september 2022 kl. 21:00,25.20
27. juli 2022 kl. 22:00,67.80,27. august 2022 kl. 22:00,40.60,27. september 2022 kl. 22:00,22.60
27. juli 2022 kl. 23:00,58.80,27. august 2022 kl. 23:00,39.00,27. september 2022 kl. 23:00,18.00
28. juli 2022 kl. 00:00,46.00,28. august 2022 kl. 00:00,29.80,28. september 2022 kl. 00:00,17.60
28. juli 2022 kl. 01:00,44.60,28. august 2022 kl. 01:00,28.20,28. september 2022 kl. 01:00,17.00
28. juli 2022 kl. 02:00,41.80,28. august 2022 kl. 02:00,28.60,28. september 2022 kl. 02:00,16.60
28. juli 2022 kl. 03:00,43.60,28. august 2022 kl. 03:00,25.00,28. september 2022 kl. 03:00,16.40
28. juli 2022 kl. 04:00,42.80,28. august 2022 kl. 04:00,26.20,28. september 2022 kl. 04:00,18.00
28. juli 2022 kl. 05:00,43.60,28. august 2022 kl. 05:00,25.60,28. september 2022 kl. 05:00,18.20
28. juli 2022 kl. 06:00,35.40,28. august 2022 kl. 06:00,28.20,28. september 2022 kl. 06:00,18.40
28. juli 2022 kl. 07:00,37.40,28. august 2022 kl. 07:00,34.20,28. september 2022 kl. 07:00,15.20
28. juli 2022 kl. 08:00,52.20,28. august 2022 kl. 08:00,43.60,28. september 2022 kl. 08:00,16.80
28. juli 2022 kl. 09:00,70.80,28. august 2022 kl. 09:00,38.40,28. september 2022 kl. 09:00,15.60
28. juli 2022 kl. 10:00,63.00,28. august 2022 kl. 10:00,33.60,28. september 2022 kl. 10:00,15.20
28. juli 2022 kl. 11:00,62.00,28. august 2022 kl. 11:00,28.40,28. september 2022 kl. 11:00,16.60
28. juli 2022 kl. 12:00,51.60,28. august 2022 kl. 12:00,42.80,28. september 2022 kl. 12:00,23.20
28. juli 2022 kl. 13:00,62.00,28. august 2022 kl. 13:00,47.00,28. september 2022 kl. 13:00,26.20
28. juli 2022 kl. 14:00,59.00,28. august 2022 kl. 14:00,44.60,28. september 2022 kl. 14:00,24.60
28. juli 2022 kl. 15:00,57.80,28. august 2022 kl. 15:00,43.80,28. september 2022 kl. 15:00,30.20
28. juli 2022 kl. 16:00,66.80,28. august 2022 kl. 16:00,44.00,28. september 2022 kl. 16:00,34.60
28. juli 2022 kl. 17:00,66.60,28. august 2022 kl. 17:00,48.20,28. september 2022 kl. 17:00,29.20
28. juli 2022 kl. 18:00,63.60,28. august 2022 kl. 18:00,44.00,28. september 2022 kl. 18:00,29.60
28. juli 2022 kl. 19:00,65.20,28. august 2022 kl. 19:00,39.60,28. september 2022 kl. 19:00,32.80
28. juli 2022 kl. 20:00,76.40,28. august 2022 kl. 20:00,31.20,28. september 2022 kl. 20:00,29.80
28. juli 2022 kl. 21:00,68.00,28. august 2022 kl. 21:00,28.20,28. september 2022 kl. 21:00,26.40
28. juli 2022 kl. 22:00,64.80,28. august 2022 kl. 22:00,24.00,28. september 2022 kl. 22:00,20.40
28. juli 2022 kl. 23:00,56.80,28. august 2022 kl. 23:00,22.60,28. september 2022 kl. 23:00,19.60
29. juli 2022 kl. 00:00,41.60,29. august 2022 kl. 00:00,21.00,29. september 2022 kl. 00:00,18.00
29. juli 2022 kl. 01:00,36.00,29. august 2022 kl. 01:00,22.40,29. september 2022 kl. 01:00,17.40
29. juli 2022 kl. 02:00,37.00,29. august 2022 kl. 02:00,23.00,29. september 2022 kl. 02:00,20.20
29. juli 2022 kl. 03:00,37.20,29. august 2022 kl. 03:00,25.20,29. september 2022 kl. 03:00,18.40
29. juli 2022 kl. 04:00,37.80,29. august 2022 kl. 04:00,23.20,29. september 2022 kl. 04:00,18.80
29. juli 2022 kl. 05:00,35.00,29. august 2022 kl. 05:00,26.40,29. september 2022 kl. 05:00,20.40
29. juli 2022 kl. 06:00,30.60,29. august 2022 kl. 06:00,22.00,29. september 2022 kl. 06:00,23.40
29. juli 2022 kl. 07:00,34.60,29. august 2022 kl. 07:00,20.00,29. september 2022 kl. 07:00,22.20
29. juli 2022 kl. 08:00,62.20,29. august 2022 kl. 08:00,23.20,29. september 2022 kl. 08:00,22.00
29. juli 2022 kl. 09:00,59.20,29. august 2022 kl. 09:00,20.40,29. september 2022 kl. 09:00,19.40
29. juli 2022 kl. 10:00,55.80,29. august 2022 kl. 10:00,25.20,29. september 2022 kl. 10:00,19.40
29. juli 2022 kl. 11:00,48.20,29. august 2022 kl. 11:00,20.00,29. september 2022 kl. 11:00,19.80
29. juli 2022 kl. 12:00,51.40,29. august 2022 kl. 12:00,19.20,29. september 2022 kl. 12:00,31.20
29. juli 2022 kl. 13:00,53.60,29. august 2022 kl. 13:00,19.80,29. september 2022 kl. 13:00,27.80
29. juli 2022 kl. 14:00,46.00,29. august 2022 kl. 14:00,18.80,29. september 2022 kl. 14:00,27.40
29. juli 2022 kl. 15:00,48.80,29. august 2022 kl. 15:00,17.20,29. september 2022 kl. 15:00,35.40
29. juli 2022 kl. 16:00,52.00,29. august 2022 kl. 16:00,19.20,29. september 2022 kl. 16:00,32.00
29. juli 2022 kl. 17:00,54.00,29. august 2022 kl. 17:00,19.80,29. september 2022 kl. 17:00,36.80
29. juli 2022 kl. 18:00,63.20,29. august 2022 kl. 18:00,20.00,29. september 2022 kl. 18:00,31.60
29. juli 2022 kl. 19:00,77.20,29. august 2022 kl. 19:00,23.40,29. september 2022 kl. 19:00,31.60
29. juli 2022 kl. 20:00,61.40,29. august 2022 kl. 20:00,25.00,29. september 2022 kl. 20:00,29.40
29. juli 2022 kl. 21:00,64.80,29. august 2022 kl. 21:00,24.80,29. september 2022 kl. 21:00,33.60
29. juli 2022 kl. 22:00,50.00,29. august 2022 kl. 22:00,25.60,29. september 2022 kl. 22:00,25.60
29. juli 2022 kl. 23:00,50.60,29. august 2022 kl. 23:00,24.00,29. september 2022 kl. 23:00,24.80
30. juli 2022 kl. 00:00,50.20,30. august 2022 kl. 00:00,21.80,30. september 2022 kl. 00:00,22.20
30. juli 2022 kl. 01:00,40.80,30. august 2022 kl. 01:00,20.40,30. september 2022 kl. 01:00,22.00
30. juli 2022 kl. 02:00,41.80,30. august 2022 kl. 02:00,23.00,30. september 2022 kl. 02:00,24.20
30. juli 2022 kl. 03:00,40.40,30. august 2022 kl. 03:00,22.20,30. september 2022 kl. 03:00,25.80
30. juli 2022 kl. 04:00,40.60,30. august 2022 kl. 04:00,23.40,30. september 2022 kl. 04:00,25.40
30. juli 2022 kl. 05:00,35.40,30. august 2022 kl. 05:00,23.40,30. september 2022 kl. 05:00,23.40
30. juli 2022 kl. 06:00,31.20,30. august 2022 kl. 06:00,28.20,30. september 2022 kl. 06:00,26.60
30. juli 2022 kl. 07:00,31.20,30. august 2022 kl. 07:00,25.60,30. september 2022 kl. 07:00,24.40
30. juli 2022 kl. 08:00,37.40,30. august 2022 kl. 08:00,27.20,30. september 2022 kl. 08:00,27.20
30. juli 2022 kl. 09:00,60.00,30. august 2022 kl. 09:00,22.60,30. september 2022 kl. 09:00,25.20
30. juli 2022 kl. 10:00,63.80,30. august 2022 kl. 10:00,21.40,30. september 2022 kl. 10:00,25.80
30. juli 2022 kl. 11:00,56.20,30. august 2022 kl. 11:00,31.40,30. september 2022 kl. 11:00,30.60
30. juli 2022 kl. 12:00,56.60,30. august 2022 kl. 12:00,32.80,30. september 2022 kl. 12:00,29.00
30. juli 2022 kl. 13:00,54.80,30. august 2022 kl. 13:00,32.80,30. september 2022 kl. 13:00,32.40
30. juli 2022 kl. 14:00,52.00,30. august 2022 kl. 14:00,37.20,30. september 2022 kl. 14:00,28.60
30. juli 2022 kl. 15:00,49.00,30. august 2022 kl. 15:00,34.40,30. september 2022 kl. 15:00,31.60
30. juli 2022 kl. 16:00,69.80,30. august 2022 kl. 16:00,32.00,30. september 2022 kl. 16:00,44.40
30. juli 2022 kl. 17:00,78.60,30. august 2022 kl. 17:00,32.20,30. september 2022 kl. 17:00,41.60
30. juli 2022 kl. 18:00,72.00,30. august 2022 kl. 18:00,40.00,30. september 2022 kl. 18:00,42.00
30. juli 2022 kl. 19:00,84.20,30. august 2022 kl. 19:00,34.80,30. september 2022 kl. 19:00,44.60
30. juli 2022 kl. 20:00,76.80,30. august 2022 kl. 20:00,41.20,30. september 2022 kl. 20:00,48.60
30. juli 2022 kl. 21:00,78.20,30. august 2022 kl. 21:00,37.40,30. september 2022 kl. 21:00,41.20
30. juli 2022 kl. 22:00,72.00,30. august 2022 kl. 22:00,32.20,30. september 2022 kl. 22:00,36.20
30. juli 2022 kl. 23:00,53.80,30. august 2022 kl. 23:00,31.40,30. september 2022 kl. 23:00,31.20
31. juli 2022 kl. 00:00,44.00,31. august 2022 kl. 00:00,23.40,,
31. juli 2022 kl. 01:00,37.80,31. august 2022 kl. 01:00,22.80,,24708.20
31. juli 2022 kl. 02:00,38.00,31. august 2022 kl. 02:00,22.00,,
31. juli 2022 kl. 03:00,31.00,31. august 2022 kl. 03:00,25.20,,
31. juli 2022 kl. 04:00,34.80,31. august 2022 kl. 04:00,23.60,,
31. juli 2022 kl. 05:00,36.00,31. august 2022 kl. 05:00,24.80,,
31. juli 2022 kl. 06:00,30.40,31. august 2022 kl. 06:00,31.80,,
31. juli 2022 kl. 07:00,34.20,31. august 2022 kl. 07:00,31.00,,
31. juli 2022 kl. 08:00,37.60,31. august 2022 kl. 08:00,26.40,,
31. juli 2022 kl. 09:00,38.80,31. august 2022 kl. 09:00,24.40,,
31. juli 2022 kl. 10:00,43.20,31. august 2022 kl. 10:00,23.80,,
31. juli 2022 kl. 11:00,31.60,31. august 2022 kl. 11:00,27.80,,
31. juli 2022 kl. 12:00,32.20,31. august 2022 kl. 12:00,30.80,,
31. juli 2022 kl. 13:00,49.60,31. august 2022 kl. 13:00,33.20,,
31. juli 2022 kl. 14:00,49.80,31. august 2022 kl. 14:00,34.60,,
31. juli 2022 kl. 15:00,48.80,31. august 2022 kl. 15:00,40.00,,
31. juli 2022 kl. 16:00,50.40,31. august 2022 kl. 16:00,34.20,,
31. juli 2022 kl. 17:00,50.40,31. august 2022 kl. 17:00,35.40,,
31. juli 2022 kl. 18:00,56.60,31. august 2022 kl. 18:00,42.60,,
31. juli 2022 kl. 19:00,55.20,31. august 2022 kl. 19:00,38.40,,
31. juli 2022 kl. 20:00,38.00,31. august 2022 kl. 20:00,37.60,,
31. juli 2022 kl. 21:00,41.80,31. august 2022 kl. 21:00,42.00,,
31. juli 2022 kl. 22:00,35.40,31. august 2022 kl. 22:00,37.40,,
31. juli 2022 kl. 23:00,30.60,31. august 2022 kl. 23:00,31.60,,
,,,,,
,31866.80,,26817.40,,